description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.6866666666666666,0.6738410082619,0.7260864914769528,0.6866666666666666,0.02931666374206543,0.1353626251220703,0.6535991940190559,0.6677142857142858,0.699888724510959,0.6677142857142858,18
DecisionTree,0.8166666666666667,0.8166512616754495,0.8166714394892073,0.8166666666666667,0.2777707099914551,0.010003948211669922,0.8136490418421124,0.8137142857142857,0.814322191653063,0.8137142857142857,18
Bagging,0.8713333333333333,0.8713261831990369,0.8713384020274777,0.8713333333333333,1.8713703632354737,0.022088146209716795,0.8691288911868187,0.8691428571428572,0.8694056394973778,0.8691428571428572,18
RandomForest,0.862,0.8618817743855628,0.8627050269860386,0.862,1.0424546718597412,0.02623262405395508,0.8579242842927108,0.858,0.8589840884501674,0.858,18
ExtraTrees,0.854,0.8538374440574835,0.8549559116912157,0.854,1.1430718898773193,0.032998180389404295,0.8535825545237644,0.8537142857142858,0.8552308537235221,0.8537142857142858,18
AdaBoost,0.896,0.8960044374595544,0.8961235635453407,0.896,2.072595739364624,0.03538293838500976,0.8851364053478055,0.8851428571428572,0.8852876060112804,0.8851428571428572,18
GradientBoosting,0.9206666666666666,0.9206405353629331,0.9218609393481335,0.9206666666666666,9.599543619155884,0.012125539779663085,0.9128507902809446,0.912857142857143,0.9129347989552509,0.912857142857143,18
XGBoost,0.9313333333333333,0.9312899503029057,0.9332394260747728,0.9313333333333333,9.073564481735229,0.02727675437927246,0.9225609479016347,0.9225714285714286,0.9227124897203961,0.9225714285714286,18
Gaussian Process,0.5073333333333333,0.34224934420363234,0.7502156993551256,0.5073333333333333,22.03260111808777,2.89833025932312,0.3326919913652908,0.49828571428571433,0.5491483711441216,0.49828571428571433,18
Hist Gradient Boosting,0.92,0.9199574627754827,0.9216491685732817,0.92,13.381402778625489,0.022684621810913085,0.9211315254876297,0.921142857142857,0.9213058932959667,0.921142857142857,18
SVC,0.8333333333333334,0.8332550437472718,0.8336041120358758,0.8333333333333334,6.8409217357635494,1.7421195030212402,0.8404116502403646,0.8405714285714285,0.8422141427240787,0.8405714285714285,18
