description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.944,0.9439553177695928,0.9445708085883965,0.944,0.0030390739440917967,0.04091668128967285,0.9451241591004832,0.9451428571428572,0.9462093299288595,0.9451428571428572,42
DecisionTree,0.9486666666666667,0.948659793759405,0.9486942825361513,0.9486666666666667,0.3421743392944336,0.005221414566040039,0.9594260480749108,0.9594285714285714,0.9595003328097883,0.9594285714285714,42
Bagging,0.9673333333333334,0.9673111559160726,0.9678280855648166,0.9673333333333334,2.116570329666138,0.007149744033813477,0.9679973361634497,0.968,0.9684002843915392,0.968,42
RandomForest,0.9733333333333334,0.9733324320141461,0.9733349937733501,0.9733333333333334,1.8105178833007813,0.016845703125,0.9759993246119653,0.9760000000000002,0.976025707907487,0.9760000000000002,42
ExtraTrees,0.97,0.9700036676854682,0.97011167195009,0.97,0.2939151287078857,0.01865992546081543,0.9754285609065866,0.9754285714285714,0.975465380213451,0.9754285714285714,42
AdaBoost,0.974,0.973994019906655,0.9740929496367013,0.974,1.9899349689483643,0.015006160736083985,0.9788568838489908,0.9788571428571429,0.9789269243206038,0.9788571428571429,42
GradientBoosting,0.9766666666666667,0.9766635426179114,0.9767030033370412,0.9766666666666667,9.845932483673096,0.006481742858886719,0.9788560381462371,0.9788571428571429,0.9789044792870849,0.9788571428571429,42
XGBoost,0.982,0.981999063366836,0.982005988695137,0.982,2.2080718994140627,0.009119224548339844,0.9839999230052051,0.984,0.9840287743600588,0.984,42
Gaussian Process,0.9473333333333334,0.947305274149205,0.9476495055964662,0.9473333333333334,4.29739933013916,0.18010201454162597,0.9508486612337104,0.9508571428571428,0.9515529575939257,0.9508571428571428,42
Hist Gradient Boosting,0.9806666666666667,0.980664903868179,0.9806849534940416,0.9806666666666667,1.1016566753387451,0.012609004974365234,0.9811423205211808,0.9811428571428571,0.9811834701191764,0.9811428571428571,42
SVC,0.9566666666666667,0.9566588596403429,0.9567200158071528,0.9566666666666667,0.11063461303710938,0.037229061126708984,0.9614281381413219,0.9614285714285714,0.9615561606455311,0.9614285714285714,42
