description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9526666666666667,0.9525464747912743,0.9562653594959083,0.9526666666666667,0.009914970397949219,0.08655576705932617,0.9625344801861013,0.9625714285714286,0.9646077471837412,0.9625714285714286,21
DecisionTree,0.9586666666666667,0.9586679894179894,0.9586999898665046,0.9586666666666667,1.1423609256744385,0.007375669479370117,0.9588527060970689,0.9588571428571429,0.9590909339911541,0.9588571428571429,21
Bagging,0.9766666666666667,0.9766668429856102,0.9766678875463164,0.9766666666666667,6.4838951587677,0.011471414566040039,0.9739977825027634,0.9739999999999999,0.9741171111236875,0.9739999999999999,21
RandomForest,0.9813333333333333,0.9813333333333333,0.9813333333333333,0.9813333333333333,2.8966060638427735,0.018407583236694336,0.9817136067994945,0.9817142857142857,0.9817916988700446,0.9817142857142857,21
ExtraTrees,0.98,0.9799996443812233,0.9800027739300364,0.98,0.42206707000732424,0.020626592636108398,0.9814273624112568,0.9814285714285713,0.9816018943039481,0.9814285714285713,21
AdaBoost,0.9793333333333333,0.9793337467080043,0.9793419952210276,0.9793333333333333,6.933362102508545,0.022596120834350586,0.9805711696382108,0.9805714285714286,0.9806061914374784,0.9805714285714286,21
GradientBoosting,0.982,0.9820003600360034,0.9820085765488992,0.982,34.09105715751648,0.009086227416992188,0.9791414752787091,0.9791428571428572,0.9792721543435501,0.9791428571428572,21
XGBoost,0.9826666666666667,0.9826670981116576,0.9826815058447043,0.9826666666666667,6.669870376586914,0.014940834045410157,0.978570695438786,0.9785714285714286,0.9786378899078041,0.9785714285714286,21
Gaussian Process,0.9786666666666667,0.9786671976758865,0.9786816480732478,0.9786666666666667,11.643781423568726,0.6961434364318848,0.9788551046961647,0.9788571428571429,0.9790189173450067,0.9788571428571429,21
Hist Gradient Boosting,0.9833333333333333,0.9833334592754357,0.9833344593873793,0.9833333333333333,4.305868101119995,0.015415334701538086,0.978570749154204,0.9785714285714286,0.9786397165391822,0.9785714285714286,21
SVC,0.982,0.9820006160331289,0.9820440038684719,0.982,0.14481101036071778,0.062279272079467776,0.9799984986617101,0.9799999999999999,0.9801764469935158,0.9799999999999999,21
