description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.994,0.9939997518940311,0.9940074598326963,0.994,0.026120710372924804,0.16909475326538087,0.9911429078725948,0.9911428571428571,0.9912197797221189,0.9911428571428571,8
DecisionTree,0.9766666666666667,0.976667859539717,0.976690759024855,0.9766666666666667,2.552403974533081,0.012233686447143555,0.9825710465671829,0.9825714285714285,0.9825987312498314,0.9825714285714285,8
Bagging,0.988,0.9880002774166817,0.9880040685971165,0.988,13.210792732238769,0.02739424705505371,0.9894286699722749,0.9894285714285715,0.9894586871202169,0.9894285714285715,8
RandomForest,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.9933333333333333,4.381619215011597,0.02102975845336914,0.9931425655490276,0.9931428571428571,0.9931664382576162,0.9931428571428571,8
ExtraTrees,0.9953333333333333,0.9953333893514831,0.9953343303736294,0.9953333333333333,0.5604459285736084,0.02250990867614746,0.9939999026122542,0.994,0.9940184435476287,0.994,8
AdaBoost,0.994,0.9940000720233356,0.9940010278643716,0.994,21.491802787780763,0.04243826866149902,0.9919998612014986,0.992,0.9920369210098825,0.992,8
GradientBoosting,0.992,0.992000341420737,0.9920147937411096,0.992,104.6476140499115,0.013457727432250977,0.991999900862037,0.992,0.9920127153083748,0.992,8
XGBoost,0.9926666666666667,0.9926667546951877,0.9926677253551142,0.9926666666666667,12.193448972702026,0.024373817443847656,0.9925711999689992,0.9925714285714287,0.9925919384364879,0.9925714285714287,8
Gaussian Process,0.9966666666666667,0.9966665288300174,0.9966743684014245,0.9966666666666667,30.27573480606079,3.5710794925689697,0.9908572116638045,0.9908571428571428,0.9909155060737349,0.9908571428571428,8
Hist Gradient Boosting,0.9926666666666667,0.9926667546951877,0.9926677253551142,0.9926666666666667,14.724964284896851,0.023038864135742188,0.9948571276924205,0.9948571428571429,0.9948701186540172,0.9948571428571429,8
SVC,0.994,0.9939995597869368,0.9940212225090236,0.994,0.8332388877868653,0.11316390037536621,0.9925714658908312,0.9925714285714285,0.9926232861581941,0.9925714285714285,8
