description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.99,0.9900002888920988,0.9901493020245908,0.99,0.022160148620605467,0.16347174644470214,0.9928568005365186,0.9928571428571429,0.9929042359600873,0.9928571428571429,21
DecisionTree,0.9753333333333334,0.9753340459338439,0.9754812794675047,0.9753333333333334,2.989981269836426,0.011164045333862305,0.9742837943940484,0.9742857142857142,0.9743977213091167,0.9742857142857142,21
Bagging,0.9906666666666667,0.990666799422512,0.9906704548485114,0.9906666666666667,14.429904460906982,0.02411971092224121,0.987712016774579,0.9877142857142858,0.9878543005973933,0.9877142857142858,21
RandomForest,0.994,0.9939999493252029,0.9940007823613086,0.994,4.440747451782227,0.021343183517456055,0.9928570664678344,0.9928571428571429,0.9928885606346587,0.9928571428571429,21
ExtraTrees,0.9933333333333333,0.9933334992737145,0.9933477932352548,0.9933333333333333,0.5693464756011963,0.02251882553100586,0.9922856915433723,0.9922857142857143,0.9923139797476115,0.9922857142857143,21
AdaBoost,0.992,0.9919996870437908,0.9920134867186765,0.992,21.469252395629884,0.039417457580566403,0.9911427434300902,0.9911428571428571,0.9911693208598471,0.9911428571428571,21
GradientBoosting,0.9946666666666667,0.9946667425271498,0.9946703552842825,0.9946666666666667,104.87127251625061,0.013998794555664062,0.9902855358376434,0.9902857142857144,0.9903160418659802,0.9902857142857144,21
XGBoost,0.994,0.9939999493252029,0.9940007823613086,0.994,12.587848711013795,0.024320459365844725,0.9911427690891182,0.9911428571428573,0.9911774577850354,0.9911428571428573,21
Gaussian Process,0.9906666666666667,0.9906669653381119,0.9907940713718086,0.9906666666666667,29.66795220375061,3.391023874282837,0.9934282139369959,0.9934285714285714,0.9934854055339984,0.9934285714285714,21
Hist Gradient Boosting,0.9953333333333333,0.9953332939196022,0.9953341394025604,0.9953333333333333,13.274576902389526,0.021268844604492188,0.9928570792968202,0.9928571428571429,0.9928756441297665,0.9928571428571429,21
SVC,0.9926666666666667,0.9926669306761712,0.9927386666666668,0.9926666666666667,0.6434917449951172,0.1324315547943115,0.9911417821469097,0.9911428571428573,0.9912739254633319,0.9911428571428573,21
