description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9906666666666667,0.9906662019121328,0.990679832955087,0.9906666666666667,0.027795743942260743,0.16971921920776367,0.9885713072885535,0.9885714285714287,0.988670988425804,0.9885714285714287,20
DecisionTree,0.9786666666666667,0.9786661734814549,0.9786691611654905,0.9786666666666667,2.5120346546173096,0.011989736557006836,0.978854932140506,0.9788571428571429,0.9790069160938362,0.9788571428571429,20
Bagging,0.986,0.9859998444012225,0.9860005655032356,0.986,12.20730276107788,0.04390263557434082,0.9862854110597906,0.9862857142857143,0.9863558673955979,0.9862857142857143,20
RandomForest,0.994,0.9939999333148095,0.9940007504476901,0.994,4.3157798767089846,0.02357645034790039,0.993428528856146,0.9934285714285714,0.9934600977580974,0.9934285714285714,20
ExtraTrees,0.994,0.9939999333148095,0.9940007504476901,0.994,0.7679535388946533,0.025978803634643555,0.994285617477232,0.9942857142857143,0.9943066171738204,0.9942857142857143,20
AdaBoost,0.9913333333333333,0.9913330212322126,0.9913406429238362,0.9913333333333333,21.77759141921997,0.05156831741333008,0.9942856501327306,0.9942857142857143,0.9943050681379834,0.9942857142857143,20
GradientBoosting,0.9893333333333333,0.9893335419708061,0.9893372688477952,0.9893333333333333,106.2910879611969,0.013977289199829102,0.9922855259261716,0.9922857142857143,0.9923266139463249,0.9922857142857143,20
XGBoost,0.9906666666666667,0.9906666666666667,0.9906666666666667,0.9906666666666667,11.225480127334595,0.023071098327636718,0.9928569124994387,0.9928571428571429,0.9929012349135103,0.9928571428571429,20
Gaussian Process,0.988,0.9879997225833184,0.9880029592533576,0.988,20.648896789550783,1.8020370960235597,0.9879998658773426,0.9879999999999999,0.988064149519387,0.9879999999999999,20
Hist Gradient Boosting,0.9913333333333333,0.991333576047572,0.9913417505454118,0.9913333333333333,14.160034990310669,0.02337675094604492,0.9942856443018719,0.9942857142857143,0.9943017911645515,0.9942857142857143,20
SVC,0.996,0.9959996798719488,0.99603125,0.996,0.4680044651031494,0.09415702819824219,0.9922857032071744,0.9922857142857143,0.99232853555883,0.9922857142857143,20
