description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.978,0.9779990319651508,0.9781032716927454,0.978,0.01392364501953125,0.0891493797302246,0.9777090987865444,0.9777142857142858,0.9781075593496891,0.9777142857142858,26
DecisionTree,0.954,0.953999693329926,0.9540070188663144,0.954,1.4884092807769775,0.007858467102050782,0.9608568122398535,0.9608571428571429,0.9608777317500389,0.9608571428571429,26
Bagging,0.9693333333333334,0.9693294074346704,0.9695461692021916,0.9693333333333334,8.122515773773193,0.01260390281677246,0.9734270487768241,0.9734285714285715,0.9735620102845001,0.9734285714285715,26
RandomForest,0.9806666666666667,0.9806661253138446,0.9807083022186821,0.9806666666666667,3.516654539108276,0.017873525619506836,0.9797135678968327,0.9797142857142858,0.9797711822620453,0.9797142857142858,26
ExtraTrees,0.976,0.9759987199180747,0.9760842136708519,0.976,0.40575199127197265,0.019653844833374023,0.9811420337625514,0.9811428571428571,0.9812132244282747,0.9811428571428571,26
AdaBoost,0.9746666666666667,0.9746661262068492,0.9746967777341197,0.9746666666666667,8.59816927909851,0.022506332397460936,0.9797139830830213,0.9797142857142858,0.9797416493219675,0.9797142857142858,26
GradientBoosting,0.976,0.975999487985436,0.9760302106316817,0.976,41.6399589061737,0.008891820907592773,0.9811421422302653,0.9811428571428571,0.9812005670035273,0.9811428571428571,26
XGBoost,0.978,0.9779993839778233,0.9780413700403244,0.978,7.517627429962158,0.013958024978637695,0.9822852221173284,0.9822857142857142,0.9823377049003463,0.9822857142857142,26
Gaussian Process,0.966,0.9659997733324265,0.966021013931063,0.966,8.022056531906127,0.7033053874969483,0.9742837209390952,0.9742857142857142,0.9744104357061405,0.9742857142857142,26
Hist Gradient Boosting,0.9806666666666667,0.9806665377763456,0.9806742544380522,0.9806666666666667,5.003055286407471,0.016261863708496093,0.9817136232753929,0.9817142857142857,0.9817819347449468,0.9817142857142857,26
SVC,0.9713333333333334,0.9713333460740796,0.9713342222222222,0.9713333333333334,0.34139480590820315,0.10774021148681641,0.976855842994533,0.9768571428571429,0.9769492264317521,0.9768571428571429,26
