description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9713333333333334,0.9713362001032038,0.971878758353543,0.9713333333333334,0.012310266494750977,0.08762598037719727,0.9745569343586776,0.9745714285714285,0.9752236012090789,0.9745714285714285,11
DecisionTree,0.9626666666666667,0.9626677290761069,0.9626722155528878,0.9626666666666667,1.5310508728027343,0.008065032958984374,0.9599935949342665,0.96,0.9603518086839143,0.96,11
Bagging,0.9746666666666667,0.9746680183184385,0.9746832357929167,0.9746666666666667,8.24882469177246,0.011020326614379882,0.9737124227832714,0.9737142857142856,0.9739094809822897,0.9737142857142856,11
RandomForest,0.978,0.9780014183079099,0.9780245751801351,0.978,3.560165596008301,0.018050765991210936,0.9797122005781993,0.9797142857142858,0.9798742060317054,0.9797142857142858,11
ExtraTrees,0.9773333333333334,0.9773345427059712,0.9773496558669776,0.9773333333333334,0.4270437717437744,0.0196840763092041,0.9817132686316224,0.9817142857142857,0.9818376353685092,0.9817142857142857,11
AdaBoost,0.976,0.97600179262463,0.9760348234909197,0.976,8.614827966690063,0.02267031669616699,0.9762847872993273,0.9762857142857143,0.9764013553970209,0.9762857142857143,11
GradientBoosting,0.9766666666666667,0.9766676315232119,0.9766764122846953,0.9766666666666667,42.12061142921448,0.008866548538208008,0.9794271576741329,0.9794285714285713,0.9795795970166955,0.9794285714285713,11
XGBoost,0.9813333333333333,0.9813350594815745,0.981392620092849,0.9813333333333333,7.78025541305542,0.014822149276733398,0.9777113163058919,0.9777142857142858,0.9778726749763063,0.9777142857142858,11
Gaussian Process,0.9713333333333334,0.9713362007965176,0.9714090112771349,0.9713333333333334,9.509862470626832,0.6674931049346924,0.9748551477697477,0.9748571428571428,0.97500788942185,0.9748571428571428,11
Hist Gradient Boosting,0.9826666666666667,0.982667591481037,0.982682496015099,0.9826666666666667,4.344117832183838,0.015470933914184571,0.9802843045250293,0.9802857142857142,0.9803942502332603,0.9802857142857142,11
SVC,0.976,0.9760025606555279,0.9760918835596346,0.976,0.13367676734924316,0.06980676651000976,0.977712949823565,0.9777142857142858,0.9778825955221991,0.9777142857142858,11
