description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.978,0.9779979561165147,0.9781011426792938,0.978,0.001592397689819336,0.030774545669555665,0.9734263361758005,0.9734285714285713,0.9736103556234234,0.9734285714285713,7
DecisionTree,0.9593333333333334,0.9593331706665943,0.9594020830555431,0.9593333333333334,0.04113955497741699,0.0044101238250732425,0.9562802208572425,0.9562857142857144,0.9565048296982115,0.9562857142857144,7
Bagging,0.9646666666666667,0.9646656459145843,0.9648095601322146,0.9646666666666667,0.2561558723449707,0.005987358093261719,0.9682819765557085,0.9682857142857143,0.9684640573887506,0.9682857142857143,7
RandomForest,0.9813333333333333,0.9813329350856232,0.9813464951271492,0.9813333333333333,0.5790163516998291,0.01628141403198242,0.9779996985242365,0.978,0.9780241453584436,0.978,7
ExtraTrees,0.986,0.9859990478777051,0.9860691087633441,0.986,0.1948610305786133,0.019408273696899413,0.977141970790919,0.9771428571428572,0.9772157302842439,0.9771428571428572,7
AdaBoost,0.9753333333333334,0.9753326206872132,0.9753535851384822,0.9753333333333334,0.34949679374694825,0.013863229751586914,0.9745698406775016,0.9745714285714285,0.974681572851029,0.9745714285714285,7
GradientBoosting,0.978,0.9780000684459351,0.978001006238322,0.978,1.5164925098419189,0.006427907943725586,0.9757128924569433,0.9757142857142858,0.975815912085267,0.9757142857142858,7
XGBoost,0.9826666666666667,0.9826662968652214,0.9826799043209657,0.9826666666666667,0.569919490814209,0.008625602722167969,0.9765712373094255,0.9765714285714285,0.976583805105632,0.9765714285714285,7
Gaussian Process,0.972,0.9719994026284349,0.9720126307704343,0.972,3.8664224624633787,0.057517385482788085,0.9648553450940112,0.964857142857143,0.9649865988373447,0.964857142857143,7
Hist Gradient Boosting,0.9806666666666667,0.9806665893305493,0.9806673837355735,0.9806666666666667,0.31658482551574707,0.011228990554809571,0.9765708500830101,0.9765714285714285,0.97661180052565,0.9765714285714285,7
SVC,0.984,0.9840001137785868,0.9840142222222222,0.984,0.04495038986206055,0.01717681884765625,0.9774279072444884,0.9774285714285714,0.977478905925057,0.9774285714285714,7
