description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9773333333333334,0.9773208201033231,0.9776568126258205,0.9773333333333334,0.016938018798828124,0.1321850299835205,0.9817147265394233,0.9817142857142857,0.9818754901220149,0.9817142857142857,2
DecisionTree,0.964,0.9640034579918032,0.964037775110044,0.964,2.587513494491577,0.009896564483642577,0.975713801008468,0.9757142857142856,0.9757809857116181,0.9757142857142856,2
Bagging,0.9646666666666667,0.9646594503245751,0.964721794871795,0.9646666666666667,14.970974826812744,0.020162630081176757,0.9782862589328845,0.9782857142857143,0.9783443112034831,0.9782857142857143,2
RandomForest,0.974,0.9740004741320071,0.9740018146237326,0.974,5.029118633270263,0.021604013442993165,0.9805705301139384,0.9805714285714286,0.9806127671357474,0.9805714285714286,2
ExtraTrees,0.98,0.979997437375873,0.9800262740511703,0.98,0.7688984870910645,0.025566673278808592,0.9808571912423721,0.980857142857143,0.9808660947742853,0.980857142857143,2
AdaBoost,0.9793333333333333,0.9793311726935467,0.9793508002506124,0.9793333333333333,17.767426204681396,0.036610984802246095,0.9854283165424252,0.9854285714285714,0.9854642713613391,0.9854285714285714,2
GradientBoosting,0.9773333333333334,0.9773314779588269,0.9773435372636262,0.9773333333333334,84.10741539001465,0.012061023712158203,0.9860000366969146,0.986,0.9860217974644556,0.986,2
XGBoost,0.984,0.9839979499006983,0.9840274275460997,0.984,12.264851665496826,0.020945215225219728,0.9862854144801719,0.9862857142857143,0.9862979988875218,0.9862857142857143,2
Gaussian Process,0.9733333333333334,0.9733299165011638,0.9733576848929545,0.9733333333333334,19.791732597351075,2.4703107833862306,0.977999147768886,0.978,0.9780343211553479,0.978,2
Hist Gradient Boosting,0.9833333333333333,0.9833323324325226,0.9833392060136247,0.9833333333333333,10.168403339385986,0.01894550323486328,0.9879999381243538,0.9879999999999999,0.9880273143003351,0.9879999999999999,2
SVC,0.9786666666666667,0.9786564102564101,0.9789287513436332,0.9786666666666667,0.40256590843200685,0.08441638946533203,0.9874288443294212,0.9874285714285715,0.9874789960075356,0.9874285714285715,2
