description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9906666666666667,0.9906691595441595,0.9907598071931777,0.9906666666666667,0.09892787933349609,0.45356903076171873,0.9919985715136856,0.992,0.9920846481300911,0.992,15
DecisionTree,0.982,0.9820066088852791,0.9822097491549545,0.982,6.698135471343994,0.025840091705322265,0.9845716138539139,0.9845714285714285,0.9846087226237566,0.9845714285714285,15
Bagging,0.9853333333333333,0.9853384509847207,0.9855153640454115,0.9853333333333333,36.08627676963806,0.08282442092895508,0.988855739576778,0.9888571428571428,0.9888986448752088,0.9888571428571428,15
RandomForest,0.994,0.9940008682971357,0.9940238603988604,0.994,7.930109167098999,0.036333560943603516,0.9945710919402512,0.9945714285714284,0.9945894437484959,0.9945714285714284,15
ExtraTrees,0.992,0.9920017665736485,0.992060038699043,0.992,1.1128913402557372,0.03729348182678223,0.9942848273253293,0.9942857142857143,0.9943325099141769,0.9942857142857143,15
AdaBoost,0.992,0.9920021367521368,0.9920925472747497,0.992,68.48619718551636,0.17336649894714357,0.9937136857510886,0.9937142857142856,0.9937551833018402,0.9937142857142856,15
GradientBoosting,0.9926666666666667,0.9926681065399364,0.992712841839411,0.9926666666666667,335.1033146381378,0.0336273193359375,0.9928568295698937,0.9928571428571429,0.9928670476333077,0.9928571428571429,15
XGBoost,0.9926666666666667,0.9926677279187215,0.9926908831908832,0.9926666666666667,35.29466490745544,0.07542343139648437,0.99371402318432,0.9937142857142856,0.9937251300490907,0.9937142857142856,15
Gaussian Process,0.9893333333333333,0.9893370552616151,0.9895132717383762,0.9893333333333333,99.7691577911377,28.254750967025757,0.99285586434873,0.9928571428571429,0.9929348193889371,0.9928571428571429,15
Hist Gradient Boosting,0.9926666666666667,0.9926681065399364,0.992712841839411,0.9926666666666667,43.940591144561765,0.03629579544067383,0.9925710248478012,0.9925714285714285,0.9925819367587371,0.9925714285714285,15
SVC,0.9933333333333333,0.9933348054780404,0.9933928593679631,0.9933333333333333,1.0104488849639892,0.2291253089904785,0.9942850047800482,0.9942857142857143,0.9943330155778893,0.9942857142857143,15
