description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9906666666666667,0.9906689585998804,0.990798119092891,0.9906666666666667,0.017092561721801756,0.1338352680206299,0.9894258596305636,0.9894285714285715,0.9895868945996348,0.9894285714285715,22
DecisionTree,0.984,0.9840007975560602,0.9840050981627745,0.984,2.2268215656280517,0.009778928756713868,0.9759977135781647,0.976,0.9760815893783741,0.976,22
Bagging,0.986,0.9859996323200473,0.9860001424501424,0.986,11.83535623550415,0.01899433135986328,0.9837109742297393,0.9837142857142858,0.9838790794214012,0.9837142857142858,22
RandomForest,0.994,0.9940007075500036,0.9940235263131668,0.994,4.374921464920044,0.02001786231994629,0.9908559057253857,0.9908571428571429,0.9909483601787914,0.9908571428571429,22
ExtraTrees,0.994,0.9940004405923519,0.9940088426268724,0.994,0.5317200183868408,0.02144198417663574,0.9911417747134532,0.9911428571428571,0.991236960604312,0.9911428571428571,22
AdaBoost,0.9906666666666667,0.9906661680911681,0.9906691978057922,0.9906666666666667,17.205337715148925,0.03350610733032226,0.9891425536725487,0.9891428571428571,0.9892035671385713,0.9891428571428571,22
GradientBoosting,0.994,0.9939998424228773,0.9940005698005698,0.994,84.23646793365478,0.011749649047851562,0.9879982561363185,0.9879999999999999,0.988119018066467,0.9879999999999999,22
XGBoost,0.992,0.9920003987780303,0.992004329166155,0.992,10.396768569946289,0.02046065330505371,0.9879987592097393,0.9880000000000001,0.9881169779827885,0.9880000000000001,22
Gaussian Process,0.9933333333333333,0.9933342588900914,0.9933670005510367,0.9933333333333333,15.080570840835572,1.2908235549926759,0.9888552949165165,0.9888571428571428,0.9889624564431877,0.9888571428571428,22
Hist Gradient Boosting,0.992,0.9920007689966196,0.9920156618464961,0.992,9.505896711349488,0.01921248435974121,0.9902847024895882,0.9902857142857144,0.9903515572181302,0.9902857142857144,22
SVC,0.9933333333333333,0.9933342588900914,0.9933670005510367,0.9933333333333333,0.30203962326049805,0.06729116439819335,0.9919987325142519,0.992,0.9920993913627466,0.992,22
