description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.994,0.9939996665740484,0.9940214307945401,0.994,0.01711750030517578,0.13496646881103516,0.9902857317784614,0.9902857142857142,0.9903261257427595,0.9902857142857142,18
DecisionTree,0.972,0.972,0.972,0.972,1.94706072807312,0.009875106811523437,0.9731421293898549,0.9731428571428571,0.9732363044941698,0.9731428571428571,18
Bagging,0.9826666666666667,0.9826649404355413,0.9827191484517304,0.9826666666666667,10.549383211135865,0.021501922607421876,0.9857142857142855,0.9857142857142858,0.9857529133867713,0.9857142857142858,18
RandomForest,0.994,0.9940000506747971,0.9940009850307333,0.994,4.578955793380738,0.021187734603881837,0.9908568687696869,0.9908571428571428,0.9908791608157577,0.9908571428571428,18
ExtraTrees,0.9946666666666667,0.9946667520122898,0.9946703743477777,0.9946666666666667,0.687180757522583,0.023020505905151367,0.9899998874527306,0.99,0.9900281008880227,0.99,18
AdaBoost,0.9926666666666667,0.9926669632815383,0.9927104967012804,0.9926666666666667,17.59255757331848,0.04105973243713379,0.9877141288543708,0.9877142857142858,0.9877389430932512,0.9877142857142858,18
GradientBoosting,0.9953333333333333,0.9953333727470645,0.9953342970276607,0.9953333333333333,84.25241661071777,0.011808490753173828,0.989999827973192,0.9899999999999999,0.9900376966832379,0.9899999999999999,18
XGBoost,0.9953333333333333,0.9953333727470645,0.9953342970276607,0.9953333333333333,10.855568170547485,0.020635986328125,0.9874282483586532,0.9874285714285715,0.9874827308898568,0.9874285714285715,18
Gaussian Process,0.9946666666666667,0.9946666666666667,0.9946666666666667,0.9946666666666667,19.06285786628723,1.8184215068817138,0.9902857201157159,0.9902857142857144,0.9903099947078996,0.9902857142857144,18
Hist Gradient Boosting,0.9953333333333333,0.9953333727470645,0.9953342970276607,0.9953333333333333,9.767042016983032,0.018922853469848632,0.9902855288458008,0.9902857142857142,0.9903160886138368,0.9902857142857142,18
SVC,0.9953333333333333,0.9953332897692393,0.9953341311345788,0.9953333333333333,0.3624809741973877,0.09028258323669433,0.9928570722990644,0.9928571428571429,0.9928934437159423,0.9928571428571429,18
