description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9906666666666667,0.9906656704026566,0.990696404856004,0.9906666666666667,0.01688241958618164,0.13678898811340331,0.989428709624986,0.9894285714285715,0.9895168474907934,0.9894285714285715,11
DecisionTree,0.9706666666666667,0.9706704218740834,0.9708950569986199,0.9706666666666667,2.0468875408172607,0.010190773010253906,0.9685688244451999,0.9685714285714285,0.9687057748641472,0.9685714285714285,11
Bagging,0.982,0.9820007443179064,0.9820093472569997,0.982,11.777658605575562,0.025141239166259766,0.9814284506887694,0.9814285714285713,0.981507383845592,0.9814285714285713,11
RandomForest,0.994,0.9940000880426126,0.9940010600379907,0.994,4.682162427902222,0.020672035217285157,0.9891423952353534,0.9891428571428571,0.9891693230400461,0.9891428571428571,11
ExtraTrees,0.9913333333333333,0.991333460505996,0.9913344692577125,0.9913333333333333,0.6679282665252686,0.02224702835083008,0.9882854897586121,0.9882857142857142,0.988295747978617,0.9882857142857142,11
AdaBoost,0.9913333333333333,0.991333460505996,0.9913344692577125,0.9913333333333333,17.41554479598999,0.0397223949432373,0.9859987800789689,0.986,0.9860992586773998,0.986,11
GradientBoosting,0.992,0.9919994592084876,0.992013037777173,0.992,85.27373871803283,0.012384891510009766,0.9879991926708476,0.9879999999999999,0.9880594601471342,0.9879999999999999,11
XGBoost,0.9926666666666667,0.9926667742743045,0.9926677646478516,0.9926666666666667,11.031410646438598,0.02148146629333496,0.989142067241997,0.9891428571428571,0.9892136935078207,0.9891428571428571,11
Gaussian Process,0.992,0.992,0.992,0.992,28.229899215698243,3.4926262378692625,0.9882853707803946,0.9882857142857142,0.9883067943786582,0.9882857142857142,11
Hist Gradient Boosting,0.9913333333333333,0.9913329055174757,0.9913404139239755,0.9913333333333333,12.072582626342774,0.02160959243774414,0.9894281753681833,0.9894285714285715,0.9894639486373403,0.9894285714285715,11
SVC,0.9926666666666667,0.9926665525304519,0.9926673212659382,0.9926666666666667,0.4113656520843506,0.07782073020935058,0.9928572145790335,0.9928571428571429,0.9928710655952095,0.9928571428571429,11
