description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.986,0.9859985619706605,0.9860400996264009,0.986,0.019660329818725585,0.13915066719055175,0.9862857049562207,0.9862857142857143,0.9863581027742127,0.9862857142857143,10
DecisionTree,0.9686666666666667,0.9686645072258271,0.9686838854735884,0.9686666666666667,2.5692243576049805,0.010258626937866212,0.9642846067747908,0.9642857142857142,0.96434429746006,0.9642857142857142,10
Bagging,0.9753333333333334,0.9753340899556682,0.9753426505452821,0.9753333333333334,14.090238285064697,0.021637105941772462,0.9794273395582455,0.9794285714285715,0.9795123069014569,0.9794285714285715,10
RandomForest,0.984,0.9840010241474773,0.9840580292457444,0.984,4.4164715766906735,0.020798206329345703,0.984856413250192,0.9848571428571429,0.9849111044306811,0.9848571428571429,10
ExtraTrees,0.9853333333333333,0.9853339070863836,0.9853484964057045,0.9853333333333333,0.5429176807403564,0.02230210304260254,0.9865712005370655,0.9865714285714284,0.9866152857256261,0.9865714285714284,10
AdaBoost,0.9833333333333333,0.9833338445646405,0.9833422238027502,0.9833333333333333,17.30583462715149,0.03426804542541504,0.9854282326132381,0.9854285714285714,0.985485145168459,0.9854285714285714,10
GradientBoosting,0.9813333333333333,0.9813340635644883,0.9813487524425739,0.9813333333333333,84.56647109985352,0.012301063537597657,0.9831426722811789,0.9831428571428571,0.983152953051278,0.9831428571428571,10
XGBoost,0.984,0.9840006259124185,0.9840152484179944,0.984,12.325016164779663,0.021967220306396484,0.9845710331774743,0.9845714285714285,0.9845964121549509,0.9845714285714285,10
Gaussian Process,0.9846666666666667,0.9846656099190216,0.9846864469489983,0.9846666666666667,20.925683641433714,3.1414891719818114,0.985714271704578,0.9857142857142858,0.9857463382961779,0.9857142857142858,10
Hist Gradient Boosting,0.9853333333333333,0.9853336463023421,0.9853374634069433,0.9853333333333333,9.938831758499145,0.01899099349975586,0.9848569964786801,0.9848571428571429,0.9848882266306982,0.9848571428571429,10
SVC,0.984,0.984,0.984,0.984,0.518782091140747,0.1007310390472412,0.9825706616886153,0.9825714285714285,0.9826011792225036,0.9825714285714285,10
