description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9653333333333334,0.9653134816753928,0.9671136615157602,0.9653333333333334,0.009483146667480468,0.08008766174316406,0.9685472588733536,0.9685714285714285,0.9697427179858928,0.9685714285714285,14
DecisionTree,0.964,0.9640011520737326,0.9640331525304405,0.964,1.467717981338501,0.0072782039642333984,0.952855701763049,0.9528571428571428,0.9529031646876929,0.9528571428571428,14
Bagging,0.9753333333333334,0.9753326425312695,0.9753397563109489,0.9753333333333334,8.711323165893555,0.011086845397949218,0.9722854921212288,0.9722857142857142,0.972335202361253,0.9722857142857142,14
RandomForest,0.9793333333333333,0.9793339304152179,0.9793562910233891,0.9793333333333333,3.6340684413909914,0.01825704574584961,0.9788559403073398,0.9788571428571429,0.9789537787055673,0.9788571428571429,14
ExtraTrees,0.9826666666666667,0.9826670981116576,0.9826815058447043,0.9826666666666667,0.4164427280426025,0.019986772537231447,0.9794272579966959,0.9794285714285713,0.9795331311551628,0.9794285714285713,14
AdaBoost,0.9773333333333334,0.9773340587130911,0.9773660591902803,0.9773333333333334,8.637229013442994,0.02262701988220215,0.9751413472083298,0.9751428571428571,0.9752056030303848,0.9751428571428571,14
GradientBoosting,0.9846666666666667,0.9846671096345515,0.9848154756401959,0.9846666666666667,42.11504473686218,0.008908653259277343,0.9788559624961646,0.9788571428571429,0.9789410387224027,0.9788571428571429,14
XGBoost,0.9786666666666667,0.9786671976758865,0.9786816480732478,0.9786666666666667,7.573836183547973,0.014389514923095703,0.9814272969101883,0.9814285714285713,0.9815357848406396,0.9814285714285713,14
Gaussian Process,0.97,0.9700010267218815,0.9700443025372624,0.97,8.90291953086853,0.6698818206787109,0.9637110550977382,0.9637142857142857,0.9638219189149811,0.9637142857142857,14
Hist Gradient Boosting,0.9813333333333333,0.9813339970559161,0.9814218905278055,0.9813333333333333,4.46071228981018,0.015796995162963866,0.9808562219505925,0.980857142857143,0.9809216103592344,0.980857142857143,14
SVC,0.9766666666666667,0.9766674652281301,0.9767108032768235,0.9766666666666667,0.23601441383361815,0.09999294281005859,0.971711370278124,0.9717142857142858,0.9718860084641928,0.9717142857142858,14
