description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.8944099378881988,0.8941069515367198,0.8979029169259878,0.8944099378881988,0.007285022735595703,0.04397177696228027,0.8876814292335832,0.8877516629711751,0.8889922567697601,0.8877516629711751,19
DecisionTree,0.7691511387163561,0.7690885421772072,0.7698989417002107,0.7691511387163561,0.9179697036743164,0.007286643981933594,0.7480845524435955,0.7484464153732446,0.7496667410018178,0.7484464153732446,19
Bagging,0.8685300207039337,0.8683996124592226,0.8708272209283898,0.8685300207039337,5.76349778175354,0.010432243347167969,0.8316767999320558,0.8322976102488298,0.8366927836860392,0.8322976102488298,19
RandomForest,0.8933747412008282,0.8933778265712299,0.8933981449530967,0.8933747412008282,2.5248780727386473,0.018893003463745117,0.8606284265848615,0.8606957378664696,0.8613205117912006,0.8606957378664696,19
ExtraTrees,0.8923395445134575,0.8923270799655084,0.8923835019099488,0.8923395445134575,0.44927196502685546,0.020313596725463866,0.8668299137804645,0.8669051490514905,0.8676090644238895,0.8669051490514905,19
AdaBoost,0.8561076604554866,0.8560686258125856,0.856251832697998,0.8561076604554866,5.584756183624267,0.01965198516845703,0.8349387614967057,0.8349701897018971,0.8351890381716698,0.8349701897018971,19
GradientBoosting,0.8975155279503105,0.8975167361892218,0.8975198681929553,0.8975155279503105,26.068480062484742,0.008776426315307617,0.8713245841379926,0.8713446661739346,0.8715371859280896,0.8713446661739346,19
XGBoost,0.9057971014492754,0.9057561843866924,0.9061528102677171,0.9057971014492754,9.187721776962281,0.014683151245117187,0.8837305269954399,0.8837654594727764,0.8841388365569893,0.8837654594727764,19
Gaussian Process,0.5010351966873706,0.34233455177536837,0.7518183407923626,0.5010351966873706,2.2735785961151125,0.270206356048584,0.35281766728217945,0.5102044838630204,0.7519286070536451,0.5102044838630204,19
Hist Gradient Boosting,0.9109730848861284,0.9109303079065848,0.9113882930039949,0.9109730848861284,4.831233787536621,0.012670326232910156,0.8846257713507997,0.8846464646464647,0.8848396990967642,0.8846464646464647,19
SVC,0.9285714285714286,0.9284802521346712,0.9300710148924435,0.9285714285714286,0.2160947322845459,0.10999846458435059,0.9121422278605273,0.9121537324464153,0.9125029138107263,0.9121537324464153,19
