description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.8405797101449275,0.8349017762539604,0.8776094607296654,0.8405797101449275,0.012435388565063477,0.06445670127868652,0.8038843105755176,0.8101118502094111,0.8633182082777127,0.8101118502094111,3
DecisionTree,0.8281573498964804,0.8282819269720958,0.8296061966059266,0.8281573498964804,0.13539795875549315,0.009262275695800782,0.8213547551569917,0.8216467110125647,0.8232418706736866,0.8216467110125647,3
Bagging,0.8674948240165632,0.867235661863189,0.8778266870224384,0.8674948240165632,0.845423698425293,0.014069271087646485,0.8572804746166293,0.8584754865730476,0.8672441832776124,0.8584754865730476,3
RandomForest,0.870600414078675,0.87041327752519,0.8797115092901275,0.870600414078675,0.49799408912658694,0.02100663185119629,0.8727515599310006,0.8739985218033999,0.8851503490367107,0.8739985218033999,3
ExtraTrees,0.8716356107660456,0.8715503147909646,0.8786853522807888,0.8716356107660456,0.3829090118408203,0.023196697235107422,0.8717619602498367,0.8726642030056665,0.88025979808627,0.8726642030056665,3
AdaBoost,0.8467908902691511,0.8468224915860827,0.8468831666449004,0.8467908902691511,0.928931474685669,0.025538158416748048,0.8591481905103888,0.8593624045331362,0.8604449777572512,0.8593624045331362,3
GradientBoosting,0.8913043478260869,0.8913774672197712,0.8921402101213155,0.8913043478260869,4.258053874969482,0.011069536209106445,0.8949589225987034,0.8952934220251294,0.898297167814536,0.8952934220251294,3
XGBoost,0.9089026915113871,0.9089371261805179,0.9090963601415348,0.9089026915113871,5.123347663879395,0.020420932769775392,0.8973126603823799,0.8975117023897511,0.8991916623345124,0.8975117023897511,3
Gaussian Process,0.4803312629399586,0.3196630857103685,0.7523580679494901,0.4803312629399586,9.090410280227662,0.5172990798950196,0.3704412366379365,0.5226262626262625,0.753069259774686,0.5226262626262625,3
Hist Gradient Boosting,0.9151138716356108,0.9151459584863917,0.9153037010197863,0.9151138716356108,6.175692701339722,0.018212032318115235,0.8951370471594278,0.8952953929539296,0.8965734399192623,0.8952953929539296,3
SVC,0.8809523809523809,0.8809158949689131,0.8809267603601475,0.8809523809523809,0.5056478023529053,0.24616003036499023,0.86771781416192,0.8677910815471792,0.8681851644651077,0.8677910815471792,3
