description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.917184265010352,0.9166830719057089,0.9284180479110765,0.917184265010352,0.010928487777709961,0.045064878463745114,0.8932866712865181,0.8944183296378417,0.9109923863855404,0.8944183296378417,4
DecisionTree,0.9627329192546584,0.9627313216193291,0.9627627448494926,0.9627329192546584,0.6779668807983399,0.006959199905395508,0.9471957773907752,0.9472076866223207,0.9476004265055872,0.9472076866223207,4
Bagging,0.9679089026915114,0.9679070111989428,0.9681562002944135,0.9679089026915114,3.591493272781372,0.00970144271850586,0.9662698628514395,0.9662813500862282,0.9667581702090577,0.9662813500862282,4
RandomForest,0.9917184265010351,0.9917184265010351,0.9917184265010351,0.9917184265010351,1.8174413681030273,0.016675233840942383,0.9875798889645313,0.9875801921655581,0.9876262740478751,0.9875801921655581,4
ExtraTrees,0.9886128364389234,0.988612946265641,0.9886321258181912,0.9886128364389234,0.34862937927246096,0.01837024688720703,0.9866911049349799,0.9866913032766691,0.9867219311500012,0.9866913032766691,4
AdaBoost,0.9803312629399586,0.9803306938378765,0.9805003406718581,0.9803312629399586,4.208542156219482,0.018443584442138672,0.9800378933008489,0.980039418576004,0.9801383555695097,0.980039418576004,4
GradientBoosting,0.9803312629399586,0.9803313683310402,0.980333574865175,0.9803312629399586,19.93802571296692,0.00793304443359375,0.9818111499529177,0.9818132544961813,0.9819531068724663,0.9818132544961813,4
XGBoost,0.9865424430641822,0.9865425728593938,0.98656173244345,0.9865424430641822,3.9595930099487306,0.013445186614990234,0.9822558410423856,0.9822576989406258,0.98239636149504,0.9822576989406258,4
Gaussian Process,0.9834368530020704,0.98343699499949,0.983470861384036,0.9834368530020704,3.519692325592041,0.27254667282104494,0.9849147278902961,0.9849164818920917,0.985059651243582,0.9849164818920917,4
Hist Gradient Boosting,0.9855072463768116,0.9855072463768116,0.9855072463768116,0.9855072463768116,5.224120330810547,0.014105701446533203,0.9862466471977049,0.9862478442966248,0.9863673082269919,0.9862478442966248,4
SVC,0.9917184265010351,0.9917184974997448,0.9917525768804204,0.9917184265010351,0.06803669929504394,0.03683309555053711,0.9880215080409721,0.9880216802168021,0.9880466219362821,0.9880216802168021,4
