description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9886128364389234,0.9886132635501486,0.988717515161597,0.9886128364389234,0.021129465103149413,0.08479413986206055,0.9986676126511675,0.9986676521310669,0.9986774029658108,0.9986676521310669,20
DecisionTree,0.9855072463768116,0.985507805510825,0.9855844038938827,0.9855072463768116,0.679943037033081,0.010881853103637696,0.9942340455708949,0.9942340477950233,0.9942399213948937,0.9942340477950233,20
Bagging,0.9886128364389234,0.9886129706704274,0.9888695143060787,0.9886128364389234,3.539458656311035,0.017010021209716796,0.9951189578009414,0.9951189948263119,0.9951287161433389,0.9951189948263119,20
RandomForest,0.9886128364389234,0.9886129706704274,0.9888695143060787,0.9886128364389234,1.6354841709136962,0.01914048194885254,0.9964501302292772,0.996450357230845,0.9964928938132042,0.996450357230845,20
ExtraTrees,0.9886128364389234,0.9886129706704274,0.9888695143060787,0.9886128364389234,0.26197385787963867,0.019629812240600585,0.9960066625276658,0.9960068982508007,0.9960513798286863,0.9960068982508007,20
AdaBoost,0.9917184265010351,0.9917187104995262,0.991855029775245,0.9917184265010351,13.195174264907838,0.03106236457824707,0.997337196464626,0.9973372751909337,0.9973567424350479,0.9973372751909337,20
GradientBoosting,0.9886128364389234,0.9886129706704274,0.9888695143060787,0.9886128364389234,61.88539247512817,0.012029933929443359,0.9955633605416182,0.9955634392707564,0.9955828895998087,0.9955634392707564,20
XGBoost,0.9886128364389234,0.9886129706704274,0.9888695143060787,0.9886128364389234,5.123956727981567,0.021529674530029297,0.997337196464626,0.9973372751909337,0.9973567424350479,0.9973372751909337,20
Gaussian Process,0.989648033126294,0.9896483881244078,0.9897844944012582,0.989648033126294,12.962090015411377,0.6421241760253906,0.9968937287630146,0.9968938162108895,0.99691522845053,0.9968938162108895,20
Hist Gradient Boosting,0.9886128364389234,0.9886129706704274,0.9888695143060787,0.9886128364389234,21.00942459106445,0.026772260665893555,0.997337196464626,0.9973372751909337,0.9973567424350479,0.9973372751909337,20
SVC,0.989648033126294,0.989648254997262,0.9898605991811955,0.989648033126294,0.5872191429138184,0.06109886169433594,0.9977806641662375,0.9977807341709781,0.9977982564195658,0.9977807341709781,20
