description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.994824016563147,0.9948247335145531,0.9948446725795591,0.994824016563147,0.01780238151550293,0.096734619140625,0.9946736687690386,0.9946745503818676,0.994731292449434,0.9946745503818676,15
DecisionTree,0.979296066252588,0.979296066252588,0.979296066252588,0.979296066252588,1.0932536602020264,0.010627079010009765,0.9813636782099611,0.9813638827297364,0.9815216990633697,0.9813638827297364,15
Bagging,0.994824016563147,0.994824266709748,0.9948266534121648,0.994824016563147,5.578942775726318,0.0187286376953125,0.993345371296346,0.9933461443705346,0.9933934678361958,0.9933461443705346,15
RandomForest,0.9927536231884058,0.9927552179786538,0.9928100787671967,0.9927536231884058,2.0394261360168455,0.0200376033782959,0.9929007555065109,0.9929026853904903,0.9930236081813394,0.9929026853904903,15
ExtraTrees,0.9958592132505176,0.9958599601456745,0.9958949096880132,0.9958592132505176,0.3060454845428467,0.02022833824157715,0.9951188536093076,0.9951199802907121,0.9951938686658698,0.9951199802907121,15
AdaBoost,0.9958592132505176,0.9958599601456745,0.9958949096880132,0.9958592132505176,13.361144161224365,0.03360991477966309,0.9955620592753709,0.9955624538063562,0.9956007913192157,0.9955624538063562,15
GradientBoosting,0.9958592132505176,0.995859604553576,0.995868549439978,0.9958592132505176,63.610503339767455,0.012066841125488281,0.9946768324567659,0.9946775067750677,0.9947152162722483,0.9946775067750677,15
XGBoost,0.9968944099378882,0.9968948401087321,0.9969145325516816,0.9968944099378882,5.850677585601806,0.022531795501708984,0.9964508647241915,0.996451342695245,0.9964895228937938,0.996451342695245,15
Gaussian Process,0.9917184265010351,0.9917166467728651,0.9917489802938719,0.9917184265010351,5.308872318267822,0.5831069946289062,0.9942322320801198,0.9942320768662233,0.9942538977292183,0.9942320768662233,15
Hist Gradient Boosting,0.9958592132505176,0.9958599601456745,0.9958949096880132,0.9958592132505176,11.456663894653321,0.019484615325927733,0.9964497805448724,0.996450357230845,0.9964922786997455,0.996450357230845,15
SVC,0.9937888198757764,0.9937904200836327,0.993868792152054,0.9937888198757764,0.19236273765563966,0.046583127975463864,0.9933435664257798,0.9933451589061345,0.993449390337217,0.9933451589061345,15
