description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9296066252587992,0.9293597933508747,0.9384545910303363,0.9296066252587992,0.008856725692749024,0.04380311965942383,0.9290959417471596,0.9294555309189455,0.9369496909520405,0.9294555309189455,27
DecisionTree,0.9606625258799172,0.9606660676693037,0.9607437358758399,0.9606625258799172,0.6720123291015625,0.007052755355834961,0.9449674277769169,0.9449854644000985,0.9454152093075008,0.9449854644000985,27
Bagging,0.9710144927536232,0.971017102045685,0.9714276430607491,0.9710144927536232,3.751066064834595,0.009785890579223633,0.9600550853877623,0.960069967972407,0.9605655839698446,0.960069967972407,27
RandomForest,0.9855072463768116,0.9855072463768116,0.9855072463768116,0.9855072463768116,2.0913913249969482,0.016596174240112303,0.9813593499014104,0.9813609263365362,0.981576777858567,0.9813609263365362,27
ExtraTrees,0.9886128364389234,0.9886125800578908,0.9886144436114377,0.9886128364389234,0.3273634910583496,0.017937374114990235,0.9826926398170182,0.9826932742054693,0.982852116150128,0.9826932742054693,27
AdaBoost,0.9824016563146998,0.9824030710771811,0.9824571297636339,0.9824016563146998,5.35796275138855,0.01850752830505371,0.9804713047135175,0.9804720374476472,0.9805552828034789,0.9804720374476472,27
GradientBoosting,0.9834368530020704,0.9834383442818122,0.983515719889914,0.9834368530020704,25.568974685668945,0.00858616828918457,0.9800315582242527,0.9800335057896034,0.9801663127977644,0.9800335057896034,27
XGBoost,0.9886128364389234,0.9886125800578908,0.9886144436114377,0.9886128364389234,4.452338552474975,0.014959049224853516,0.980916957829623,0.9809184528208919,0.981059856391551,0.9809184528208919,27
Gaussian Process,0.9472049689440993,0.9471562332405467,0.9505338725438719,0.9472049689440993,3.8371346950531007,0.2665091991424561,0.9604540707501243,0.9605114560236512,0.9623714446840065,0.9605114560236512,27
Hist Gradient Boosting,0.9906832298136646,0.9906834195859442,0.9906857333767142,0.9906832298136646,4.715931510925293,0.016113805770874023,0.984025435127459,0.9840256220744026,0.9841065324485768,0.9840256220744026,27
SVC,0.9648033126293996,0.964791996045817,0.966644885170729,0.9648033126293996,0.16611409187316895,0.09551119804382324,0.9702379338893113,0.9702695245134269,0.9714697803171498,0.9702695245134269,27
