description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9368530020703933,0.9367101375534966,0.9414303820700762,0.9368530020703933,0.007887935638427735,0.04312915802001953,0.935008608233837,0.9352254249815225,0.9407759432309006,0.9352254249815225,11
DecisionTree,0.9658385093167702,0.965838838796923,0.965857798696038,0.9658385093167702,0.6843464851379395,0.007006311416625976,0.9525265813924566,0.9525321507760532,0.9527231903197919,0.9525321507760532,11
Bagging,0.9627329192546584,0.9627329192546583,0.9628072042021318,0.9627329192546584,3.653304100036621,0.009785079956054687,0.9702758745651593,0.9702783936930277,0.9704249535981887,0.9702783936930277,11
RandomForest,0.9813664596273292,0.981362144976116,0.9816609965902788,0.9813664596273292,2.01837215423584,0.01635570526123047,0.9862491546226735,0.9862498152254251,0.9863549000962702,0.9862498152254251,11
ExtraTrees,0.9824016563146998,0.9823991097422337,0.9825672158543939,0.9824016563146998,0.33978681564331054,0.017897415161132812,0.9862475889831671,0.9862478442966248,0.9862919488637185,0.9862478442966248,11
AdaBoost,0.9782608695652174,0.9782602405091161,0.9782784843253798,0.9782608695652174,5.305004119873047,0.01846446990966797,0.9871348841670846,0.9871357477211136,0.9872250056744623,0.9871357477211136,11
GradientBoosting,0.9761904761904762,0.9761902975757336,0.9761922113330119,0.9761904761904762,25.044746160507202,0.007952737808227538,0.9813656951766753,0.9813668391229367,0.981469265028584,0.9813668391229367,11
XGBoost,0.9772256728778468,0.9772246965451455,0.9772572382990463,0.9772256728778468,4.207026958465576,0.013530206680297852,0.9862496597613427,0.9862498152254251,0.9862787944708525,0.9862498152254251,11
Gaussian Process,0.9668737060041408,0.9668711499629373,0.9671671022866373,0.9668737060041408,3.0448773384094237,0.2635711669921875,0.9689325680610203,0.9689470312884947,0.9697173398233842,0.9689470312884947,11
Hist Gradient Boosting,0.9803312629399586,0.9803306937939621,0.9803490374711883,0.9803312629399586,5.748585653305054,0.014915227890014648,0.9853605698420729,0.985360926336536,0.985397108559882,0.985360926336536,11
SVC,0.9803312629399586,0.9803313683283297,0.9803840023472475,0.9803312629399586,0.12402548789978027,0.062073564529418944,0.9787028962239244,0.9787060852426708,0.9789510552998877,0.9787060852426708,11
