description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9420289855072463,0.9419107677237079,0.946880721893271,0.9420289855072463,0.00150299072265625,0.020863819122314452,0.9350211984521518,0.9352244395171224,0.9401940159652863,0.9352244395171224,19
DecisionTree,0.9575569358178054,0.9575585277778265,0.9576606826824137,0.9575569358178054,0.02514538764953613,0.004188346862792969,0.9671686794030097,0.9671692535107169,0.967198501107155,0.9671692535107169,19
Bagging,0.9710144927536232,0.9710151139923334,0.9712238636611443,0.9710144927536232,0.14703779220581054,0.005643320083618164,0.9707155054055976,0.970720867208672,0.9708801379251545,0.970720867208672,19
RandomForest,0.9886128364389234,0.9886126777731259,0.9886146384019447,0.9886128364389234,0.3737473011016846,0.01422896385192871,0.9826942419301575,0.9826952451342695,0.982768417981639,0.9826952451342695,19
ExtraTrees,0.9917184265010351,0.9917186040160717,0.9917272841596069,0.9917184265010351,0.15119261741638185,0.01630997657775879,0.9857990654854637,0.9857994579945799,0.9858336923647883,0.9857994579945799,19
AdaBoost,0.9834368530020704,0.9834368530020704,0.9834368530020704,0.9834368530020704,0.2084181308746338,0.011766004562377929,0.9760398644590863,0.9760423749692043,0.976187487432672,0.9760423749692043,19
GradientBoosting,0.9824016563146998,0.9824023164126617,0.9824556153341025,0.9824016563146998,0.8496257305145264,0.005249547958374024,0.9804749261222842,0.9804779502340478,0.980637300426455,0.9804779502340478,19
XGBoost,0.9865424430641822,0.9865429478319938,0.9866470596629847,0.9865424430641822,0.34427528381347655,0.0071394920349121095,0.9782573005331594,0.978258684405026,0.9783077077438767,0.978258684405026,19
Gaussian Process,0.9399585921325052,0.9398864681553677,0.9430531270986676,0.9399585921325052,0.9655803203582763,0.024187040328979493,0.923843955986278,0.9241350086228135,0.9301466218265777,0.9241350086228135,19
Hist Gradient Boosting,0.9875776397515528,0.9875779059967142,0.9877898507900787,0.9875776397515528,0.29880032539367674,0.00960397720336914,0.9800305247054769,0.9800315348608033,0.9800816728114512,0.9800315348608033,19
SVC,0.9855072463768116,0.9855068114202203,0.9855148275363871,0.9855072463768116,0.023653268814086914,0.010741090774536133,0.9800312922720835,0.9800315348608033,0.9800561145284593,0.9800315348608033,19
