description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9917184265010351,0.9917187460061857,0.9917955840181063,0.9917184265010351,0.014213848114013671,0.07115817070007324,0.9977817305512289,0.9977817196353781,0.9977876368016204,0.9977817196353781,20
DecisionTree,0.9813664596273292,0.9813659003974261,0.9813737567153517,0.9813664596273292,0.7608516216278076,0.009744882583618164,0.9875767909853008,0.9875772357723577,0.9876651170362326,0.9875772357723577,20
Bagging,0.9865424430641822,0.9865429478319938,0.9866470596629847,0.9865424430641822,3.8944844245910644,0.016098880767822267,0.9915699101533185,0.9915703375215571,0.9916607900932034,0.9915703375215571,20
RandomForest,0.9917184265010351,0.9917187104995262,0.991855029775245,0.9917184265010351,1.726558256149292,0.018622159957885742,0.9968946032084398,0.9968948016752893,0.996931498891735,0.9968948016752893,20
ExtraTrees,0.9917184265010351,0.9917187104995262,0.991855029775245,0.9917184265010351,0.34701080322265626,0.019371747970581055,0.9968946032084398,0.9968948016752893,0.996931498891735,0.9968948016752893,20
AdaBoost,0.9886128364389234,0.988613263561134,0.9886666623357453,0.9886128364389234,10.606803369522094,0.02643890380859375,0.9982261335549811,0.9982261640798227,0.9982378599862554,0.9982261640798227,20
GradientBoosting,0.9875776397515528,0.9875780657492896,0.9877139590272714,0.9875776397515528,51.291863965988156,0.010952234268188477,0.9933467002188955,0.9933471298349348,0.9933910111602657,0.9933471298349348,20
XGBoost,0.9875776397515528,0.9875781190092784,0.9876547972686238,0.9875776397515528,4.478634309768677,0.019750595092773438,0.9968946555346253,0.9968948016752895,0.9969238632339346,0.9968948016752895,20
Gaussian Process,0.989648033126294,0.9896483881244078,0.9897844944012582,0.989648033126294,7.274592924118042,0.4693132877349854,0.9964511529499627,0.996451342695245,0.9964860949161641,0.996451342695245,20
Hist Gradient Boosting,0.9906832298136646,0.9906835792683033,0.9907879706602093,0.9906832298136646,9.945884847640992,0.01746668815612793,0.9977816868869226,0.9977817196353781,0.9977914575225257,0.9977817196353781,20
SVC,0.9906832298136646,0.9906834993883351,0.9908557625948932,0.9906832298136646,0.14662547111511232,0.03225135803222656,0.9982251371454,0.9982251786154224,0.9982368614980967,0.9982251786154224,20
