description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9937888198757764,0.9937890329294413,0.9937977675542267,0.9937888198757764,0.01585731506347656,0.0691490650177002,0.9955644356753204,0.9955644247351565,0.9956073915408696,0.9955644247351565,8
DecisionTree,0.9772256728778468,0.9772270398842767,0.9772619214483182,0.9772256728778468,0.8236668109893799,0.00988774299621582,0.9849137209956689,0.9849154964276916,0.9850473121615007,0.9849154964276916,8
Bagging,0.989648033126294,0.9896483882157354,0.9896572293513679,0.989648033126294,4.651628208160401,0.016722440719604492,0.9897943824085116,0.9897945306725795,0.9898816799220835,0.9897945306725795,8
RandomForest,0.9937888198757764,0.9937878608053077,0.993863653371249,0.9937888198757764,1.799512767791748,0.01930103302001953,0.9960059761442039,0.9960059127864007,0.9960627177535699,0.9960059127864007,8
ExtraTrees,0.994824016563147,0.9948233783250355,0.9948760888311234,0.994824016563147,0.3857757091522217,0.020276546478271484,0.9960059761442039,0.9960059127864007,0.9960627177535699,0.9960059127864007,8
AdaBoost,0.994824016563147,0.9948236669526481,0.9948425186309429,0.994824016563147,9.954720878601075,0.026854848861694335,0.996450414033584,0.996450357230845,0.9964857121633315,0.996450357230845,8
GradientBoosting,0.9958592132505176,0.9958588225566467,0.9958926066920456,0.9958592132505176,49.0575731754303,0.010906505584716796,0.9946755599594631,0.9946755358462676,0.9947457844947252,0.9946755358462676,8
XGBoost,0.994824016563147,0.9948239111341027,0.9948259387814575,0.994824016563147,5.073509740829468,0.018929004669189453,0.9951180706413322,0.9951180093619119,0.9951591126126262,0.9951180093619119,8
Gaussian Process,0.9958592132505176,0.9958588225566467,0.9958926066920456,0.9958592132505176,3.8536290168762206,0.5016735553741455,0.9946755992034279,0.9946755358462676,0.9947342683671156,0.9946755358462676,8
Hist Gradient Boosting,0.994824016563147,0.9948233783250355,0.9948760888311234,0.994824016563147,8.740688467025757,0.0163818359375,0.9960059717836778,0.9960059127864005,0.9960510655993634,0.9960059127864005,8
SVC,0.9958592132505176,0.9958588225566467,0.9958926066920456,0.9958592132505176,0.12233610153198242,0.03419060707092285,0.9955625215248146,0.9955624538063562,0.9956133895917445,0.9955624538063562,8
