description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9855072463768116,0.9855078676794398,0.9855422854416412,0.9855072463768116,0.013960170745849609,0.06873345375061035,0.9880199191047943,0.9880216802168021,0.9881400170677193,0.9880216802168021,17
DecisionTree,0.9730848861283644,0.9730860398722343,0.9732957595276436,0.9730848861283644,1.3638105392456055,0.009875631332397461,0.9680443920910984,0.9680581423996057,0.9686292872674386,0.9680581423996057,17
Bagging,0.979296066252588,0.979296598742911,0.9795994039471106,0.979296066252588,6.977024984359741,0.016231298446655273,0.9809174973505975,0.9809194382852919,0.9810369093768412,0.9809194382852919,17
RandomForest,0.989648033126294,0.9896460796569395,0.9897800044473697,0.989648033126294,2.4368537425994874,0.019085168838500977,0.992900565737248,0.9929007144616901,0.9929979672478801,0.9929007144616901,17
ExtraTrees,0.9886128364389234,0.9886103090160017,0.9887795950029346,0.9886128364389234,0.41643943786621096,0.0199737548828125,0.9928995600205226,0.99289972899729,0.9929970202115331,0.99289972899729,17
AdaBoost,0.989648033126294,0.9896476780368526,0.9896558101519375,0.989648033126294,10.629741668701172,0.02574148178100586,0.9929015931163467,0.9929016999260902,0.9929327142398007,0.9929016999260902,17
GradientBoosting,0.9875776397515528,0.9875752955883274,0.9877085450684192,0.9875776397515528,50.88719763755798,0.010888290405273438,0.992901628012007,0.9929016999260902,0.992932666070258,0.9929016999260902,17
XGBoost,0.9865424430641822,0.9865394561098202,0.986707922252972,0.9865424430641822,5.865928077697754,0.018748998641967773,0.9929006970180415,0.9929007144616901,0.9929318139524073,0.9929007144616901,17
Gaussian Process,0.989648033126294,0.9896467013353166,0.9897217828971582,0.989648033126294,3.56915397644043,0.5272251605987549,0.9928995478167806,0.99289972899729,0.9929771167883995,0.99289972899729,17
Hist Gradient Boosting,0.9886128364389234,0.988611676719437,0.9886635206491202,0.9886128364389234,9.299764394760132,0.017191076278686525,0.9933441036725424,0.9933441734417345,0.993388793330521,0.9933441734417345,17
SVC,0.9937888198757764,0.993788340470086,0.9938219578195532,0.9937888198757764,0.12453131675720215,0.039401578903198245,0.9955634654336567,0.9955634392707564,0.9955830787913669,0.9955634392707564,17
