description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9544513457556936,0.9543697654910578,0.9556824412765449,0.9544513457556936,0.013719701766967773,0.06801419258117676,0.9560450554101113,0.9560847499384085,0.9587983110060726,0.9560847499384085,42
DecisionTree,0.9461697722567288,0.9461836303114459,0.946327328439573,0.9461697722567288,1.346999168395996,0.009327268600463868,0.9551901701947518,0.9551919191919191,0.9553181758729995,0.9551919191919191,42
Bagging,0.9658385093167702,0.9658370792522744,0.9658377225479075,0.9658385093167702,7.761167240142822,0.014208221435546875,0.9716094116670572,0.9716087706331609,0.9716975318435663,0.9716087706331609,42
RandomForest,0.979296066252588,0.9793035256895684,0.9797224041159631,0.979296066252588,2.8727083683013914,0.019258975982666016,0.9827002514196156,0.9827021433850701,0.9827658754672429,0.9827021433850701,42
ExtraTrees,0.979296066252588,0.979302283836824,0.9795184572256133,0.979296066252588,0.3940786838531494,0.019992351531982422,0.9782625267592376,0.9782636117270262,0.9782825791182447,0.9782636117270262,42
AdaBoost,0.9824016563146998,0.9824065829411102,0.9825821273100369,0.9824016563146998,10.710423374176026,0.026950550079345704,0.9849116555469412,0.9849115545700912,0.9849349379982009,0.9849115545700912,42
GradientBoosting,0.9813664596273292,0.9813712566462697,0.981510732218563,0.9813664596273292,50.870056819915774,0.011198282241821289,0.9822535040465228,0.9822537570830254,0.9822725999033475,0.9822537570830254,42
XGBoost,0.9865424430641822,0.9865448254003172,0.9866001111579709,0.9865424430641822,7.877531814575195,0.019986772537231447,0.982251847380702,0.9822527716186252,0.9823283635665293,0.9822527716186252,42
Gaussian Process,0.9544513457556936,0.9543607192343289,0.9558883284933364,0.9544513457556936,7.409709739685058,0.520272159576416,0.9569340386101912,0.9569726533628973,0.9595089799651986,0.9569726533628973,42
Hist Gradient Boosting,0.9824016563146998,0.9824072618023942,0.9826677026401123,0.9824016563146998,8.846154165267944,0.016177797317504884,0.9853624198361931,0.9853628972653363,0.9853832097349537,0.9853628972653363,42
SVC,0.9648033126293996,0.9647851632244051,0.9649745034362146,0.9648033126293996,0.26329355239868163,0.11748933792114258,0.9733859416651626,0.9733855629465387,0.9738416908714461,0.9733855629465387,42
