description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9389233954451346,0.93865987577121,0.942920374354557,0.9389233954451346,0.007136249542236328,0.043436193466186525,0.9313872893130697,0.9316777531411677,0.9395577897543937,0.9316777531411677,42
DecisionTree,0.9399585921325052,0.9399709594263118,0.9400558949371279,0.9399585921325052,0.7755618095397949,0.007097816467285157,0.9409751181576083,0.9409913771864991,0.9415214116368785,0.9409913771864991,42
Bagging,0.9658385093167702,0.9658398658233058,0.9658432950435202,0.9658385093167702,4.18040885925293,0.010427427291870118,0.9636159076919156,0.963620596205962,0.9639879467677309,0.963620596205962,42
RandomForest,0.979296066252588,0.9793035256895684,0.9797224041159631,0.979296066252588,2.1175830364227295,0.017464160919189453,0.9826970359445228,0.9827001724562698,0.9828855655250738,0.9827001724562698,42
ExtraTrees,0.9834368530020704,0.9834411170189066,0.9835803442055624,0.9834368530020704,0.3959648609161377,0.01880965232849121,0.9858047605436397,0.9858053707809805,0.9858898108964297,0.9858053707809805,42
AdaBoost,0.9782608695652174,0.9782659300850702,0.9783737867925074,0.9782608695652174,5.3885656833648685,0.01991863250732422,0.980034940881915,0.9800364621828036,0.9803894871111135,0.9800364621828036,42
GradientBoosting,0.979296066252588,0.9793013962736331,0.9794411202315636,0.979296066252588,25.261032247543334,0.00813746452331543,0.9840260260804433,0.9840275930032029,0.9842921712649858,0.9840275930032029,42
XGBoost,0.984472049689441,0.9844756643464789,0.9845827290856368,0.984472049689441,4.184775876998901,0.013079214096069335,0.9853577321145135,0.985358955407736,0.985533373961846,0.985358955407736,42
Gaussian Process,0.943064182194617,0.9429204493370315,0.9450018543616961,0.943064182194617,1.920680570602417,0.25470881462097167,0.9547187076562558,0.9547504311406751,0.9571021638718319,0.9547504311406751,42
Hist Gradient Boosting,0.9824016563146998,0.9824057529260093,0.9825130816545937,0.9824016563146998,4.081778335571289,0.01313157081604004,0.981363727281553,0.9813668391229367,0.9816588971119771,0.9813668391229367,42
SVC,0.9751552795031055,0.9751358406104795,0.9755278968120221,0.9751552795031055,0.17459392547607422,0.09322991371154785,0.9764802566998678,0.9764848484848485,0.97742458215811,0.9764848484848485,42
