description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.5633187772925764,0.5674851936715224,0.6203738542827953,0.5633187772925764,0.014969491958618164,0.046158552169799805,0.5254040102369276,0.5299922118380063,0.6284301371019672,0.5299922118380063,42
DecisionTree,0.5691411935953421,0.5680415473081931,0.5673728523153516,0.5691411935953421,0.0940171718597412,0.008388137817382813,0.5679720113072079,0.5692873831775701,0.5679681274397483,0.5692873831775701,42
Bagging,0.6244541484716157,0.6272721275328873,0.6339361558905917,0.6244541484716157,0.5633245944976807,0.011868047714233398,0.6237413672041957,0.6198500778816199,0.6362566698660947,0.6198500778816199,42
RandomForest,0.6652110625909753,0.6632039120067986,0.6668302194999928,0.6652110625909753,0.3999011516571045,0.019641780853271486,0.6565534078587226,0.6579264018691589,0.6634823773027843,0.6579264018691589,42
ExtraTrees,0.6448326055312955,0.6443863375321681,0.6530012901817339,0.6448326055312955,0.3562504291534424,0.02168755531311035,0.648069395011866,0.6485786604361371,0.65895135308316,0.6485786604361371,42
AdaBoost,0.6331877729257642,0.6315127518261426,0.6307552949814854,0.6331877729257642,0.6441415786743164,0.020915699005126954,0.5927130812060385,0.5905529595015576,0.5985336496939478,0.5905529595015576,42
GradientBoosting,0.6739446870451238,0.6734488343555108,0.6732008085719877,0.6739446870451238,7.83272795677185,0.010735082626342773,0.6723723325089862,0.6723228193146417,0.6765528735967536,0.6723228193146417,42
XGBoost,0.6899563318777293,0.6898012552063546,0.6906766716359759,0.6899563318777293,9.807712984085082,0.018552780151367188,0.6768003364726713,0.6766764018691588,0.6783012232852474,0.6766764018691588,42
Gaussian Process,0.33478893740902477,0.18194460451572617,0.7825083123782083,0.33478893740902477,4.265861463546753,0.9989887714385987,0.19386117776929543,0.348934968847352,0.7101388755960301,0.348934968847352,42
Hist Gradient Boosting,0.6885007278020379,0.6871168245055291,0.6872477108975684,0.6885007278020379,25.51613345146179,0.024426984786987304,0.7014771406132236,0.7010358255451713,0.7040834299452509,0.7010358255451713,42
SVC,0.6448326055312955,0.6392257374701799,0.639871608272557,0.6448326055312955,0.4127607822418213,0.18493399620056153,0.6148623452948154,0.6186214953271028,0.6154885495125952,0.6186214953271028,42
