description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.5836972343522562,0.5817661309782062,0.5998189961249183,0.5836972343522562,0.007274532318115234,0.032178306579589845,0.561468775809262,0.5674143302180685,0.5775675424291887,0.5674143302180685,1
DecisionTree,0.4847161572052402,0.48473889306634593,0.4865397202527336,0.4847161572052402,0.54505615234375,0.007266855239868164,0.4714375645002987,0.4718983644859813,0.473878212263251,0.4718983644859813,1
Bagging,0.5589519650655022,0.5610666146271864,0.566033582562788,0.5589519650655022,3.270771598815918,0.009521293640136718,0.5353749801643097,0.5331016355140187,0.5426339966045695,0.5331016355140187,1
RandomForest,0.6200873362445415,0.6219612972644042,0.6294264878455881,0.6200873362445415,1.6458271503448487,0.01772146224975586,0.6212051962057087,0.6204497663551402,0.6251311054441794,0.6204497663551402,1
ExtraTrees,0.6259097525473072,0.6286687943581435,0.6370773532851882,0.6259097525473072,0.421551513671875,0.01905374526977539,0.6149716828175835,0.6148559190031152,0.6193099763191044,0.6148559190031152,1
AdaBoost,0.5604075691411936,0.5616255918620021,0.565048888325636,0.5604075691411936,3.804076337814331,0.016929101943969727,0.5607165670960428,0.5599415887850467,0.5631675369228011,0.5599415887850467,1
GradientBoosting,0.6055312954876274,0.6070903775481971,0.6149844161039667,0.6055312954876274,53.080148458480835,0.008972883224487305,0.6040832397770727,0.6054809190031152,0.6060792778952685,0.6054809190031152,1
XGBoost,0.6200873362445415,0.6206769919459447,0.6252152051740069,0.6200873362445415,21.592696714401246,0.015386295318603516,0.6210752078754511,0.6223481308411215,0.621985930388257,0.6223481308411215,1
Gaussian Process,0.32168850072780203,0.16720784671891134,0.42922579390270754,0.32168850072780203,3.503202724456787,0.6891892433166504,0.19631302238054962,0.35268302180685357,0.5820322505883099,0.35268302180685357,1
Hist Gradient Boosting,0.61863173216885,0.6202153574380589,0.6249349287007286,0.61863173216885,20.503371143341063,0.026563644409179688,0.6269775121189409,0.6279595015576324,0.6288581324134077,0.6279595015576324,1
SVC,0.6521106259097526,0.6526665323191665,0.6610947471854053,0.6521106259097526,0.2267756462097168,0.10858745574951172,0.6230090847120391,0.6248247663551402,0.6295573254446456,0.6248247663551402,1
