description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.5924308588064047,0.591210929812374,0.5905672157746853,0.5924308588064047,0.0034273624420166015,0.024472618103027345,0.6115978315209476,0.6111195482866043,0.6137757339987135,0.6111195482866043,9
DecisionTree,0.6215429403202329,0.6199937727238795,0.6190696009505953,0.6215429403202329,0.13362693786621094,0.004636001586914062,0.620389654974536,0.6198695482866043,0.6221698000872706,0.6198695482866043,9
Bagging,0.6579330422125182,0.6592290790405559,0.6689699320703687,0.6579330422125182,0.8133406639099121,0.0062274932861328125,0.699765610519445,0.6979030373831775,0.7062154983313785,0.6979030373831775,9
RandomForest,0.6885007278020379,0.6885782415819801,0.6955667301013719,0.6885007278020379,0.8269288539886475,0.014943742752075195,0.7264562254716049,0.724744937694704,0.7326745662208846,0.724744937694704,9
ExtraTrees,0.6666666666666666,0.665842740152146,0.6690097399068946,0.6666666666666666,0.2549733638763428,0.016770029067993165,0.7159678573262627,0.7147644080996884,0.7193128223079231,0.7147644080996884,9
AdaBoost,0.6448326055312955,0.6446430512427074,0.6456260367768203,0.6448326055312955,0.8690011501312256,0.012290048599243163,0.6693815499110091,0.6666841900311525,0.6743147404022132,0.6666841900311525,9
GradientBoosting,0.7001455604075691,0.7011082475144991,0.7123022264834402,0.7001455604075691,12.018076944351197,0.006531953811645508,0.7372461568116987,0.736588785046729,0.7421099545393629,0.736588785046729,9
XGBoost,0.7132459970887919,0.7121244195354102,0.7213577075825217,0.7132459970887919,5.154200744628906,0.010927581787109375,0.7520379870916081,0.7515829439252337,0.7556349717907394,0.7515829439252337,9
Gaussian Process,0.5938864628820961,0.5847149051518957,0.588393435977011,0.5938864628820961,2.201774549484253,0.3753047466278076,0.6301822509415261,0.6367426012461059,0.632943070250396,0.6367426012461059,9
Hist Gradient Boosting,0.7190684133915575,0.7179965911160753,0.7239142726385761,0.7190684133915575,2.983186960220337,0.017209959030151368,0.7516834960486001,0.7515751557632397,0.7553314224487248,0.7515751557632397,9
SVC,0.5880640465793304,0.5876052522452861,0.58823431658177,0.5880640465793304,0.1227083683013916,0.03560495376586914,0.6479271318760499,0.6473598130841122,0.6499989664855714,0.6473598130841122,9
