description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7467248908296943,0.7481890825616011,0.7517530930638843,0.7467248908296943,0.008748435974121093,0.034372901916503905,0.7027201656209247,0.7016277258566979,0.7069114293284946,0.7016277258566979,2
DecisionTree,0.6098981077147017,0.6136396451723529,0.6203850585821848,0.6098981077147017,0.4718803882598877,0.006691265106201172,0.5751183077228201,0.5749065420560747,0.5781057362657287,0.5749065420560747,2
Bagging,0.6783114992721979,0.680210512421553,0.6826678860724062,0.6783114992721979,2.867854452133179,0.009228515625,0.680216602157292,0.6798014018691588,0.6847451038932154,0.6798014018691588,2
RandomForest,0.7496360989810772,0.7499959632263279,0.7514111669772771,0.7496360989810772,1.3268372535705566,0.01710987091064453,0.7206877002848382,0.7209715732087227,0.7260328693905371,0.7209715732087227,2
ExtraTrees,0.7510917030567685,0.7530240042454935,0.7560104695001222,0.7510917030567685,0.3788402557373047,0.01856365203857422,0.7170458066635689,0.7165946261682243,0.7201149067143979,0.7165946261682243,2
AdaBoost,0.6215429403202329,0.6258648373122772,0.6323606521176006,0.6215429403202329,2.9493536949157715,0.016682529449462892,0.6248653984402803,0.6204906542056075,0.6331080042212255,0.6204906542056075,2
GradientBoosting,0.7554585152838428,0.7555126019315501,0.7556000543769191,0.7554585152838428,41.41076807975769,0.008918666839599609,0.7257533417215819,0.7265946261682243,0.7269232604875461,0.7265946261682243,2
XGBoost,0.7656477438136827,0.7659956922365133,0.7665723355230764,0.7656477438136827,16.252647972106935,0.014603948593139649,0.7294046696543393,0.7303465732087228,0.7307394806544085,0.7303465732087228,2
Gaussian Process,0.7540029112081513,0.7488722478063682,0.7495633576945022,0.7540029112081513,3.6121945858001707,0.6655323505401611,0.7281443190145633,0.7328232087227414,0.7301038799981804,0.7328232087227414,2
Hist Gradient Boosting,0.7554585152838428,0.7559337357093087,0.7564686002736482,0.7554585152838428,16.62758102416992,0.023487377166748046,0.7275227165131403,0.7278465732087228,0.7297183060200483,0.7278465732087228,2
SVC,0.745269286754003,0.7429222704872974,0.7497968488468156,0.745269286754003,0.1729893684387207,0.09329652786254883,0.7263258315464985,0.7284735202492211,0.7404729017322973,0.7284735202492211,2
