description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7962154294032023,0.7942255822568712,0.7975000326827459,0.7962154294032023,0.016927623748779298,0.05295529365539551,0.780380162122031,0.7802609034267913,0.788750088973672,0.7802609034267913,17
DecisionTree,0.7263464337700145,0.7260872504314705,0.7259631632397575,0.7263464337700145,1.6796529769897461,0.010365724563598633,0.7149397657378362,0.7147118380062306,0.7164318791743887,0.7147118380062306,17
Bagging,0.7860262008733624,0.7873465710357195,0.7961490314626658,0.7860262008733624,10.029274082183838,0.01462869644165039,0.7677643636792973,0.7659073208722742,0.7771186177242277,0.7659073208722742,17
RandomForest,0.8151382823871907,0.8147233055836833,0.820215028907068,0.8151382823871907,2.6508013248443603,0.020356464385986327,0.8135186742252083,0.8133469626168223,0.8224429264184316,0.8133469626168223,17
ExtraTrees,0.8224163027656477,0.8210141564794836,0.8284439305639799,0.8224163027656477,0.5244060516357422,0.021396780014038087,0.8057501762381867,0.8058586448598131,0.8142469250620031,0.8058586448598131,17
AdaBoost,0.7161572052401747,0.7142674837750698,0.7130883357127964,0.7161572052401747,9.209214115142823,0.025153207778930663,0.6922084845857505,0.6941413551401869,0.6943579214083722,0.6941413551401869,17
GradientBoosting,0.8049490538573508,0.803717735529932,0.8061563303540862,0.8049490538573508,132.79270462989808,0.01258397102355957,0.805557180752983,0.8058586448598131,0.8113785636618156,0.8058586448598131,17
XGBoost,0.8224163027656477,0.8211996430887704,0.822435822331414,0.8224163027656477,40.17244267463684,0.023842525482177735,0.8089501076504293,0.8089953271028036,0.8147714715201186,0.8089953271028036,17
Gaussian Process,0.8136826783114993,0.811164138549747,0.8204172162939001,0.8136826783114993,14.792129278182983,1.3443657875061035,0.8055165260803282,0.8064797507788162,0.8158454450469623,0.8064797507788162,17
Hist Gradient Boosting,0.8180494905385735,0.8163922230715354,0.8182704492669027,0.8180494905385735,58.54744896888733,0.03687982559204102,0.8104206683965515,0.8108605919003115,0.8168445048244438,0.8108605919003115,17
SVC,0.7947598253275109,0.7913956337956595,0.8178372334669973,0.7947598253275109,0.33527231216430664,0.19801774024963378,0.7667233900783949,0.7671534267912772,0.7879673693414607,0.7671534267912772,17
