description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7743813682678311,0.7739645773467067,0.7738587220218129,0.7743813682678311,0.018901252746582033,0.056166458129882815,0.7783581968802883,0.7777940031152648,0.7829733860638898,0.7777940031152648,5
DecisionTree,0.7117903930131004,0.7144489585416202,0.719897924358461,0.7117903930131004,1.8270569324493409,0.010386228561401367,0.7179133192241909,0.7178446261682243,0.7189591219782349,0.7178446261682243,5
Bagging,0.7714701601164483,0.7726819960545782,0.774565604323025,0.7714701601164483,10.059216833114624,0.014946556091308594,0.7811062694110591,0.7790517912772585,0.7907362431018453,0.7790517912772585,5
RandomForest,0.8238719068413392,0.824098497671239,0.8272342195186833,0.8238719068413392,2.6717671394348144,0.02040557861328125,0.8072552839461421,0.8065206386292836,0.8149946144745528,0.8065206386292836,5
ExtraTrees,0.8224163027656477,0.8223535362603146,0.8263680589168174,0.8224163027656477,0.5266170501708984,0.021905851364135743,0.8075238797636614,0.8071222741433022,0.815585837813571,0.8071222741433022,5
AdaBoost,0.7059679767103348,0.7061784974275114,0.7082092094687882,0.7059679767103348,9.200164890289306,0.025324058532714844,0.7184205154780483,0.7159871495327103,0.7237279001488925,0.7159871495327103,5
GradientBoosting,0.8107714701601164,0.8103543262374353,0.8106449420845484,0.8107714701601164,132.28719630241395,0.012467288970947265,0.7964355988859284,0.7965147975077882,0.8012300799503407,0.7965147975077882,5
XGBoost,0.8398835516739447,0.8396702558076,0.8397322288170254,0.8398835516739447,40.557334184646606,0.02444167137145996,0.8057978970383978,0.8058742211838007,0.8110672757567144,0.8058742211838007,5
Gaussian Process,0.8136826783114993,0.8124486157972206,0.8147722174221018,0.8136826783114993,16.025967168807984,1.2198697566986083,0.8052576871753567,0.8058878504672897,0.8132515708999348,0.8058878504672897,5
Hist Gradient Boosting,0.8427947598253275,0.8424705075607275,0.8427633904779868,0.8427947598253275,68.039670419693,0.04516019821166992,0.8120865374517313,0.8121222741433021,0.8179884803451059,0.8121222741433021,5
SVC,0.7671033478893741,0.7666648828381425,0.7763114042990733,0.7671033478893741,1.0273561477661133,0.7791803359985352,0.7649133050281256,0.7659151090342678,0.7864979806480686,0.7659151090342678,5
