description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.8020378457059679,0.802346644736441,0.8072887651191437,0.8020378457059679,0.019397544860839843,0.05557827949523926,0.7627678203087033,0.764022585669782,0.7658598956974296,0.764022585669782,26
DecisionTree,0.6986899563318777,0.698565665696396,0.7001196025558242,0.6986899563318777,1.729099416732788,0.010471963882446289,0.7179473773972348,0.7184832554517134,0.7192102981157193,0.7184832554517134,26
Bagging,0.7991266375545851,0.8007760768526307,0.8035713762200496,0.7991266375545851,10.26871223449707,0.014666986465454102,0.7743076096118184,0.7734112149532709,0.7799623553230314,0.7734112149532709,26
RandomForest,0.8180494905385735,0.8196071341991789,0.8304728333803765,0.8180494905385735,2.7159471988677977,0.020610570907592773,0.8010604837990369,0.8014894859813084,0.8058928257481147,0.8014894859813084,26
ExtraTrees,0.834061135371179,0.8347004725559014,0.8424330285294224,0.834061135371179,0.5721335887908936,0.02217440605163574,0.7967613400613638,0.7971105919003115,0.8020082630585648,0.7971105919003115,26
AdaBoost,0.6826783114992722,0.6853085329649701,0.6921787944473737,0.6826783114992722,9.4340829372406,0.02578558921813965,0.7072808258438291,0.7053621495327104,0.7102747787412025,0.7053621495327104,26
GradientBoosting,0.8180494905385735,0.8184516565130904,0.8220581332834094,0.8180494905385735,134.0595757484436,0.012775230407714843,0.7912142944107653,0.7921222741433022,0.7932899377460966,0.7921222741433022,26
XGBoost,0.826783114992722,0.8272444203459396,0.8298604621551846,0.826783114992722,41.450916624069215,0.02450242042541504,0.7996537276429749,0.8008644859813085,0.8035636591531711,0.8008644859813085,26
Gaussian Process,0.5647743813682679,0.5427912868733313,0.7007393804775706,0.5647743813682679,15.716035461425781,1.2690102100372314,0.5354316912154827,0.5580588006230529,0.7109336131469416,0.5580588006230529,26
Hist Gradient Boosting,0.826783114992722,0.8271302647614784,0.8302241392273668,0.826783114992722,66.82095656394958,0.04385099411010742,0.8042662608624467,0.8052239096573208,0.8071611721276282,0.8052239096573208,26
SVC,0.7787481804949054,0.7766601085386498,0.7783896747486174,0.7787481804949054,0.4306509971618652,0.24780335426330566,0.7532421816294195,0.7559228971962616,0.7569088858663398,0.7559228971962616,26
