description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7510917030567685,0.7486286011909249,0.7499731156350197,0.7510917030567685,0.010250520706176759,0.03730511665344238,0.7100241677520212,0.7147410436137072,0.7113828959974525,0.7147410436137072,28
DecisionTree,0.6302765647743813,0.6310151063158397,0.6320656462950466,0.6302765647743813,0.6086595058441162,0.00668950080871582,0.5980690119434564,0.5980354361370717,0.6000433097636145,0.5980354361370717,28
Bagging,0.7336244541484717,0.7350321056536796,0.7401271160050482,0.7336244541484717,3.712874937057495,0.009043216705322266,0.6870435453593433,0.6866627725856698,0.6888873485672531,0.6866627725856698,28
RandomForest,0.7787481804949054,0.7782023977834551,0.7832219319921084,0.7787481804949054,1.6489058971405028,0.016985368728637696,0.7389681510694426,0.7390946261682243,0.7434243405740114,0.7390946261682243,28
ExtraTrees,0.7685589519650655,0.7673999490565047,0.7725357793950612,0.7685589519650655,0.38387250900268555,0.018270397186279298,0.7423605935426044,0.744084890965732,0.7459833963361279,0.744084890965732,28
AdaBoost,0.6855895196506551,0.6839671323409622,0.6826660598376366,0.6855895196506551,3.722811698913574,0.016459178924560548,0.6698205747620875,0.6672858255451712,0.6767709117228321,0.6672858255451712,28
GradientBoosting,0.7802037845705968,0.7792167959136069,0.7826252923092264,0.7802037845705968,52.27405800819397,0.008867263793945312,0.750275378215823,0.7515440031152647,0.7517437535982203,0.7515440031152647,28
XGBoost,0.7889374090247453,0.787826235873868,0.7899921621319002,0.7889374090247453,18.878820514678956,0.014955282211303711,0.7513571868722829,0.7521923676012461,0.7528554235664412,0.7521923676012461,28
Gaussian Process,0.6739446870451238,0.6666848035704148,0.6723721454070799,0.6739446870451238,3.6963834285736086,0.6997004508972168,0.6523868956873102,0.6616939252336449,0.6556462147800088,0.6616939252336449,28
Hist Gradient Boosting,0.7933042212518195,0.7927051812063524,0.7948994662694491,0.7933042212518195,21.507865142822265,0.026913881301879883,0.7546617451365568,0.7553193146417446,0.7571319168887206,0.7553193146417446,28
SVC,0.6943231441048034,0.688580976843162,0.7003080117269513,0.6943231441048034,0.22674031257629396,0.1043539047241211,0.6578796095113472,0.6660650311526479,0.6642505814945171,0.6660650311526479,28
