description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7176128093158661,0.7149220886687834,0.714584368903784,0.7176128093158661,0.009804677963256837,0.03687858581542969,0.7223102428260446,0.7265732087227414,0.7237054459272398,0.7265732087227414,14
DecisionTree,0.6404657933042213,0.6384807337086783,0.6377609012087843,0.6404657933042213,0.6305460929870605,0.006602144241333008,0.5965546317064085,0.5961117601246106,0.5983723809562294,0.5961117601246106,14
Bagging,0.7059679767103348,0.7059661883456765,0.7093364011094739,0.7059679767103348,3.7141290664672852,0.009005880355834961,0.6788587799498115,0.677869937694704,0.6834413313388621,0.677869937694704,14
RandomForest,0.7510917030567685,0.7497169077672041,0.7536514565183636,0.7510917030567685,1.6310958385467529,0.017071008682250977,0.7435591888139098,0.7440303738317757,0.7489857771179741,0.7440303738317757,14
ExtraTrees,0.735080058224163,0.7325528626580317,0.7348129245131384,0.735080058224163,0.3807244777679443,0.01848297119140625,0.7399989811201433,0.7421631619937694,0.7415009387146512,0.7421631619937694,14
AdaBoost,0.6477438136826783,0.6481347409997148,0.6488047563662366,0.6477438136826783,3.7431861400604247,0.016483449935913087,0.6461644872701219,0.6435494548286604,0.6520057521103164,0.6435494548286604,14
GradientBoosting,0.7627365356622998,0.7606717827451593,0.7606786648875691,0.7627365356622998,52.647003746032716,0.0088897705078125,0.7360054862507355,0.7365751557632398,0.7385302852869209,0.7365751557632398,14
XGBoost,0.7554585152838428,0.7537000742057051,0.7539086729095754,0.7554585152838428,18.976311492919923,0.014968204498291015,0.7482798113298251,0.7490517912772584,0.7497253130597399,0.7490517912772584,14
Gaussian Process,0.6943231441048034,0.6878845362209911,0.6913037292267408,0.6943231441048034,4.044054222106934,0.7045804023742676,0.685793683948708,0.6897332554517133,0.6883703708201749,0.6897332554517133,14
Hist Gradient Boosting,0.7554585152838428,0.7537933339219117,0.7537140052291742,0.7554585152838428,21.505160427093507,0.027437448501586914,0.7482624166064875,0.7496631619937695,0.7492516037294319,0.7496631619937695,14
SVC,0.710334788937409,0.7074135908348513,0.7202808853735044,0.710334788937409,0.23110074996948243,0.10797948837280273,0.6953091212251998,0.6978504672897196,0.7032579688406003,0.6978504672897196,14
