description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.6855895196506551,0.6829450745667726,0.6834031524128722,0.6855895196506551,0.0014925956726074218,0.016444587707519533,0.6781456814132893,0.6841491433021807,0.6793997049529015,0.6841491433021807,13
DecisionTree,0.636098981077147,0.636415784683003,0.6367637591177575,0.636098981077147,0.01913623809814453,0.004056310653686524,0.620570265908896,0.6216978193146416,0.6210814459264992,0.6216978193146416,13
Bagging,0.6899563318777293,0.6921036764170003,0.69817931127057,0.6899563318777293,0.1255201816558838,0.005561161041259766,0.6890430717100701,0.6878894080996885,0.69237867022565,0.6878894080996885,13
RandomForest,0.7540029112081513,0.7554452065543097,0.7643740992129364,0.7540029112081513,0.32674880027770997,0.014732742309570312,0.7220593027238772,0.7228290498442368,0.7248764885826195,0.7228290498442368,13
ExtraTrees,0.7612809315866085,0.7624860239755696,0.766078011029316,0.7612809315866085,0.16935186386108397,0.016468334197998046,0.7460341244234435,0.7471806853582554,0.746482448551281,0.7471806853582554,13
AdaBoost,0.6477438136826783,0.6455252160479281,0.6438845852408697,0.6477438136826783,0.15635356903076172,0.010889482498168946,0.6618987501207487,0.661043613707165,0.6636497082209992,0.661043613707165,13
GradientBoosting,0.7307132459970888,0.7305778127990131,0.7325595872344266,0.7307132459970888,1.8070034027099608,0.0060653209686279295,0.7205309013222112,0.7222040498442367,0.7215718092543401,0.7222040498442367,13
XGBoost,0.7510917030567685,0.7512721356457374,0.7530916352568957,0.7510917030567685,1.0877837657928466,0.009262657165527344,0.7265960789004746,0.7272059968847351,0.7280066884126472,0.7272059968847351,13
Gaussian Process,0.61863173216885,0.6021338188062141,0.6075783548983598,0.61863173216885,1.3589725971221924,0.2557459831237793,0.5952138510192515,0.60797507788162,0.599511120693129,0.60797507788162,13
Hist Gradient Boosting,0.745269286754003,0.7455861448889369,0.7477073570908559,0.745269286754003,0.8615811824798584,0.016739273071289064,0.7167298792470427,0.7172157320872274,0.7171607106165476,0.7172157320872274,13
SVC,0.7205240174672489,0.7173316788558063,0.7226248995845613,0.7205240174672489,0.0597264289855957,0.021643829345703126,0.702130503363688,0.7047254672897196,0.7035890479914055,0.7047254672897196,13
