description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7947598253275109,0.795176155322137,0.7974430777166106,0.7947598253275109,0.058843135833740234,0.15194830894470215,0.772533693037668,0.7721845794392523,0.7814517093768174,0.7721845794392523,25
DecisionTree,0.7030567685589519,0.7025124066838615,0.7023835977912507,0.7030567685589519,5.731068515777588,0.024283361434936524,0.683896651379265,0.6835221962616822,0.6861588376109593,0.6835221962616822,25
Bagging,0.7714701601164483,0.7726767792844557,0.7770424900532336,0.7714701601164483,31.40915732383728,0.05230679512023926,0.7557008774258623,0.7528251557632398,0.7680142415723102,0.7528251557632398,25
RandomForest,0.8064046579330422,0.8062202874056855,0.8102461830570867,0.8064046579330422,5.020677757263184,0.03495607376098633,0.7857788986039248,0.784661214953271,0.7991236759309327,0.784661214953271,25
ExtraTrees,0.8180494905385735,0.8183477312615978,0.8250823070709963,0.8180494905385735,1.0891592979431153,0.03623948097229004,0.788565320924404,0.7877803738317757,0.805188640797,0.7877803738317757,25
AdaBoost,0.7147016011644832,0.7140893176324726,0.7135542378453786,0.7147016011644832,29.760904550552368,0.0769850730895996,0.7001255919961522,0.698516355140187,0.703525635661523,0.698516355140187,25
GradientBoosting,0.8005822416302766,0.7993422574106571,0.7988753888210699,0.8005822416302766,431.20540289878846,0.02814059257507324,0.7966109817105844,0.7965323208722742,0.8036161346984432,0.7965323208722742,25
XGBoost,0.8093158660844251,0.808461509469023,0.8087477725990244,0.8093158660844251,126.45862865447998,0.05426173210144043,0.7982395429848295,0.7983995327102804,0.8053726646752881,0.7983995327102804,25
Gaussian Process,0.8180494905385735,0.816371104519531,0.8202392334515459,0.8180494905385735,62.10435605049133,10.19174838066101,0.7944439393764616,0.7952803738317757,0.8100321426616004,0.7952803738317757,25
Hist Gradient Boosting,0.8078602620087336,0.8070665154011598,0.807831186319674,0.8078602620087336,131.6174015522003,0.049210548400878906,0.8033847735986491,0.8033936915887852,0.8111076560834354,0.8033936915887852,25
SVC,0.8107714701601164,0.8090440393066777,0.828285339839521,0.8107714701601164,3.785758399963379,1.0801339626312256,0.7885495891285199,0.7884092679127727,0.8168125133243571,0.7884092679127727,25
