description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7438136826783115,0.7443152693692755,0.7467911835080181,0.7438136826783115,0.011616373062133789,0.06314620971679688,0.7326072372480423,0.735946261682243,0.7348536489030577,0.735946261682243,23
DecisionTree,0.6652110625909753,0.6674740128474981,0.6713674193376603,0.6652110625909753,1.4015121936798096,0.008951425552368164,0.6362096721351839,0.6360728193146418,0.6379746459582034,0.6360728193146418,23
Bagging,0.7292576419213974,0.7331646837998707,0.740803127236548,0.7292576419213974,7.863618612289429,0.012654399871826172,0.7283048954168228,0.7278348909657322,0.734983097798119,0.7278348909657322,23
RandomForest,0.7685589519650655,0.7708196987901021,0.7786100667509316,0.7685589519650655,2.34753794670105,0.01950845718383789,0.7659800113140264,0.7665206386292834,0.7721322880755114,0.7665206386292834,23
ExtraTrees,0.777292576419214,0.7786660969680308,0.7816319488756728,0.777292576419214,0.47403769493103026,0.020872831344604492,0.7707313595116727,0.7715342679127726,0.7767548055534184,0.7715342679127726,23
AdaBoost,0.6681222707423581,0.6719234136137294,0.6788692873525387,0.6681222707423581,7.447349548339844,0.022677850723266602,0.6554557820750735,0.6523130841121495,0.66206758890448,0.6523130841121495,23
GradientBoosting,0.7379912663755459,0.7395545904051412,0.7431253311527464,0.7379912663755459,106.85467047691345,0.012157440185546875,0.7524968087515548,0.7534326323987539,0.7562815704243997,0.7534326323987539,23
XGBoost,0.7656477438136827,0.7670761473277279,0.7706021051507447,0.7656477438136827,34.72419123649597,0.02059593200683594,0.7624598482738981,0.7634248442367602,0.7639257643091553,0.7634248442367602,23
Gaussian Process,0.7612809315866085,0.760487361850684,0.7601528384279475,0.7612809315866085,4.687469387054444,1.0147742748260498,0.7434733732736127,0.7459521028037384,0.7455114510320834,0.7459521028037384,23
Hist Gradient Boosting,0.7656477438136827,0.7676952620223692,0.7723306407860079,0.7656477438136827,26.120650053024292,0.021965789794921874,0.7721536157005111,0.7727803738317757,0.7741238149474304,0.7727803738317757,23
SVC,0.7641921397379913,0.7657830893303353,0.7762698480670067,0.7641921397379913,0.22833719253540039,0.13854069709777833,0.747987019058342,0.7496767912772586,0.7596867340265814,0.7496767912772586,23
