description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7583697234352256,0.7571444658209352,0.7564762671634655,0.7583697234352256,0.020073318481445314,0.05297355651855469,0.7687646699410713,0.7702842679127726,0.7704446687717696,0.7702842679127726,20
DecisionTree,0.6812227074235808,0.6805440690555125,0.6800033872547673,0.6812227074235808,1.270944929122925,0.010712671279907226,0.6942444926889342,0.6966043613707165,0.6935623833089144,0.6966043613707165,20
Bagging,0.7714701601164483,0.7723896388200195,0.7804465131365556,0.7714701601164483,7.45738000869751,0.014313793182373047,0.7871230375965672,0.7858761682242991,0.7945002821451974,0.7858761682242991,20
RandomForest,0.7918486171761281,0.7914679129353446,0.7935760029597536,0.7918486171761281,2.433106565475464,0.020327234268188478,0.8075883229168828,0.807108644859813,0.813760210554707,0.807108644859813,20
ExtraTrees,0.7991266375545851,0.7994574921420908,0.803794038990128,0.7991266375545851,0.4989450931549072,0.02079739570617676,0.8083276119132957,0.8083547507788161,0.8127159649192803,0.8083547507788161,20
AdaBoost,0.6899563318777293,0.6864606409741574,0.6937030286532392,0.6899563318777293,6.981435680389405,0.022644948959350587,0.7086046651922742,0.7097566199376947,0.7100120135098152,0.7097566199376947,20
GradientBoosting,0.7933042212518195,0.7930043474587389,0.7938792157361447,0.7933042212518195,102.92131118774414,0.011528682708740235,0.8056811639316404,0.80586253894081,0.8077987603073045,0.80586253894081,20
XGBoost,0.8049490538573508,0.8044212282191162,0.8059078790041841,0.8049490538573508,32.510805177688596,0.02038865089416504,0.8074571504287172,0.8083508566978193,0.8088007177212593,0.8083508566978193,20
Gaussian Process,0.7787481804949054,0.7769078830325834,0.7783071814876573,0.7787481804949054,4.541750526428222,0.9806686401367187,0.7954769040399178,0.7971300623052959,0.7982349836196384,0.7971300623052959,20
Hist Gradient Boosting,0.8020378457059679,0.8017146728809161,0.8027318181394959,0.8020378457059679,29.868023586273193,0.02517108917236328,0.8169499656638765,0.8177161214953271,0.8178623951375196,0.8177161214953271,20
SVC,0.8034934497816594,0.8017441354281695,0.8129922162091593,0.8034934497816594,0.23310184478759766,0.12105202674865723,0.8043946925833303,0.8052433800623053,0.8115046586145249,0.8052433800623053,20
