description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7860262008733624,0.783674692335658,0.7849927499871207,0.7860262008733624,0.015179729461669922,0.06483654975891114,0.7550696426759055,0.7571709501557631,0.7599206273916439,0.7571709501557631,2
DecisionTree,0.6637554585152838,0.6662051245074754,0.6706901930732879,0.6637554585152838,1.310899019241333,0.009425163269042969,0.653949347242771,0.6535591900311527,0.6551875639202274,0.6535591900311527,2
Bagging,0.7612809315866085,0.7627598694145301,0.7672486011077714,0.7612809315866085,7.566292476654053,0.013053989410400391,0.7183403159680972,0.7159890965732087,0.7252277743676385,0.7159890965732087,2
RandomForest,0.7947598253275109,0.7951249155598411,0.7991790836894791,0.7947598253275109,2.424327182769775,0.019824743270874023,0.7784273694910638,0.7777940031152648,0.7883997250522476,0.7777940031152648,2
ExtraTrees,0.8078602620087336,0.8073532450332985,0.8090022100717897,0.8078602620087336,0.563923692703247,0.021578311920166016,0.7779570573163191,0.7777901090342679,0.7854124441766291,0.7777901090342679,2
AdaBoost,0.6957787481804949,0.6976223447253419,0.7004461438599326,0.6957787481804949,7.432577896118164,0.02306208610534668,0.6652755222953892,0.6629653426791278,0.6711415061462945,0.6629653426791278,2
GradientBoosting,0.784570596797671,0.7842555283160172,0.7844943563397542,0.784570596797671,106.21644539833069,0.011892318725585938,0.7746109602745829,0.775303738317757,0.7768067594816795,0.775303738317757,2
XGBoost,0.8034934497816594,0.8023679996360688,0.8023531739607047,0.8034934497816594,34.77000722885132,0.021279382705688476,0.7741979821151015,0.7746553738317756,0.7769239548684387,0.7746553738317756,2
Gaussian Process,0.8064046579330422,0.8048549139673965,0.8059262279616763,0.8064046579330422,9.470627641677856,1.0059380531311035,0.7667631986835716,0.76842484423676,0.7708066778045577,0.76842484423676,2
Hist Gradient Boosting,0.7918486171761281,0.7905727512306145,0.7902026630786578,0.7918486171761281,35.36305642127991,0.027680206298828124,0.7905319767654296,0.7908897975077882,0.7925314746940032,0.7908897975077882,2
SVC,0.7976710334788938,0.7972234094483758,0.804550364430244,0.7976710334788938,0.2105560779571533,0.12984447479248046,0.7819618340586194,0.7827862149532709,0.7945708407949332,0.7827862149532709,2
