description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7117903930131004,0.7094857750179365,0.7091275020571193,0.7117903930131004,0.011274147033691406,0.04326939582824707,0.7176636046752045,0.7197274143302181,0.7211942420191828,0.7197274143302181,5
DecisionTree,0.6841339155749636,0.6848550941492835,0.6867984593271335,0.6841339155749636,1.2323361396789552,0.009198474884033202,0.6240570922067976,0.6248267133956387,0.6256466899097791,0.6248267133956387,5
Bagging,0.7176128093158661,0.7200633620963262,0.7264420459312064,0.7176128093158661,7.264178514480591,0.012949895858764649,0.7162580256306378,0.7153757788161995,0.7220537378068947,0.7153757788161995,5
RandomForest,0.7816593886462883,0.781466765470903,0.7828742730808079,0.7816593886462883,2.3767765522003175,0.019529962539672853,0.7382798363987184,0.7378134735202492,0.7418967462924044,0.7378134735202492,5
ExtraTrees,0.7802037845705968,0.7792081411232954,0.7793905473157815,0.7802037845705968,0.4823785305023193,0.021090984344482422,0.75262106893592,0.7534326323987538,0.7539880253226542,0.7534326323987538,5
AdaBoost,0.6521106259097526,0.6525303432880948,0.6549760348059196,0.6521106259097526,7.4176109790802,0.0222684383392334,0.6515700338637525,0.6473091900311526,0.6590470636150992,0.6473091900311526,5
GradientBoosting,0.7685589519650655,0.7674384450584335,0.7672784168387079,0.7685589519650655,106.68411312103271,0.011741161346435547,0.7388948401036157,0.7384443146417445,0.7416040876596028,0.7384443146417445,5
XGBoost,0.7714701601164483,0.770717938192702,0.7705054186171114,0.7714701601164483,35.90953731536865,0.020929622650146484,0.747101726890766,0.7478056853582554,0.7492337891746831,0.7478056853582554,5
Gaussian Process,0.7671033478893741,0.7629119638247209,0.7659120833928595,0.7671033478893741,17.505300331115723,1.0460849761962892,0.7262699548768254,0.7303504672897196,0.7313525337334524,0.7303504672897196,5
Hist Gradient Boosting,0.7874818049490538,0.7871484669395571,0.7877029799333432,0.7874818049490538,29.77462410926819,0.02468419075012207,0.7490360864372925,0.7503076323987539,0.7495019303955404,0.7503076323987539,5
SVC,0.6899563318777293,0.6897322374670303,0.6942901425549093,0.6899563318777293,0.3304606914520264,0.16532063484191895,0.6782141568880635,0.6772819314641745,0.6939452901458802,0.6772819314641745,5
