description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7365356622998545,0.7366873173097804,0.7381562476861591,0.7365356622998545,0.006421375274658203,0.044921493530273436,0.724989715728768,0.7253309968847351,0.7262140599254909,0.7253309968847351,8
DecisionTree,0.5895196506550219,0.588683159155207,0.5880151481220726,0.5895196506550219,0.64239501953125,0.006783676147460937,0.5998484090939261,0.6005198598130841,0.6002901092895553,0.6005198598130841,8
Bagging,0.7190684133915575,0.71876942788324,0.7226335516902334,0.7190684133915575,3.697518539428711,0.009219598770141602,0.6921472672293382,0.6910144080996885,0.6989838174964091,0.6910144080996885,8
RandomForest,0.7379912663755459,0.7365517567447865,0.7396112172544177,0.7379912663755459,1.6497866630554199,0.016976165771484374,0.7425267616515925,0.7434326323987538,0.7479203834500984,0.7434326323987538,8
ExtraTrees,0.7554585152838428,0.7536708926556046,0.7561595235220698,0.7554585152838428,0.3771613121032715,0.018435573577880858,0.7499285206158698,0.7515381619937695,0.7529801481408938,0.7515381619937695,8
AdaBoost,0.6419213973799127,0.6383228602811607,0.6357874422642521,0.6419213973799127,3.6920214176177977,0.016525125503540038,0.6557216654245626,0.6535591900311527,0.6617972695931993,0.6535591900311527,8
GradientBoosting,0.7365356622998545,0.7343770204976985,0.7338124637914738,0.7365356622998545,52.29567413330078,0.009124565124511718,0.754107988456037,0.7546651090342679,0.7563835732010414,0.7546651090342679,8
XGBoost,0.7671033478893741,0.7650248007305392,0.7647863473140548,0.7671033478893741,18.10249056816101,0.014723777770996094,0.7655918872412407,0.7665342679127726,0.7665901740371508,0.7665342679127726,8
Gaussian Process,0.6491994177583698,0.6416271070667415,0.6486946549604801,0.6491994177583698,2.9600340366363525,0.6150141716003418,0.6412015304598283,0.6454244548286605,0.6511492323315775,0.6454244548286605,8
Hist Gradient Boosting,0.7671033478893741,0.766526418416861,0.7683886194920072,0.7671033478893741,12.06476411819458,0.019428730010986328,0.7644832248043977,0.7659131619937695,0.7678835751469654,0.7659131619937695,8
SVC,0.6695778748180495,0.6639044888669832,0.6726943504214347,0.6695778748180495,0.20712547302246093,0.1036756992340088,0.6683747302394568,0.6735183021806854,0.6809235605637254,0.6735183021806854,8
