description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7074235807860262,0.7066395689439369,0.7085720107248538,0.7074235807860262,0.006135416030883789,0.022658443450927733,0.7409860702113878,0.7415690404106884,0.7441493386671381,0.7415690404106884,18
DecisionTree,0.6179039301310044,0.6177124617774461,0.617809866725425,0.6179039301310044,0.3242447853088379,0.0070130348205566405,0.6458059843278642,0.6461059190031153,0.6468088745893944,0.6461059190031153,18
Bagging,0.7248908296943232,0.7240232262329234,0.7294385906749388,0.7248908296943232,2.0594663619995117,0.009229183197021484,0.7002108622127248,0.7013645737352464,0.703728597879345,0.7013645737352464,18
RandomForest,0.7729257641921398,0.7723183934309181,0.7775417116236855,0.7729257641921398,1.0482399463653564,0.015799665451049806,0.7604735458721796,0.761261024088456,0.7643213933449865,0.761261024088456,18
ExtraTrees,0.7882096069868996,0.7865174790358124,0.8004583604323453,0.7882096069868996,0.25632567405700685,0.015741634368896484,0.7510870013807149,0.7528322583475934,0.7587088157081564,0.7528322583475934,18
AdaBoost,0.6986899563318777,0.6985060379456617,0.7000313042412362,0.6986899563318777,2.3750086784362794,0.014682912826538086,0.7029009703197447,0.7032161818261595,0.7043595310051298,0.7032161818261595,18
GradientBoosting,0.75764192139738,0.7576315228871212,0.758206517827151,0.75764192139738,11.153831958770752,0.01507425308227539,0.7517149819780024,0.7518757404238515,0.75249789106968,0.7518757404238515,18
XGBoost,0.7663755458515283,0.7663387905561271,0.7671869467720996,0.7663755458515283,3.9976004123687745,0.012160062789916992,0.7563073297291547,0.7565486376201132,0.7573784024931591,0.7565486376201132,18
Gaussian Process,0.5436681222707423,0.4304790204508149,0.7634224136196245,0.5436681222707423,0.36478433609008787,0.06664543151855469,0.4079839690409609,0.5374753192049494,0.7588992510325753,0.5374753192049494,18
Hist Gradient Boosting,0.777292576419214,0.7769652655393904,0.7802437796784577,0.777292576419214,4.546432781219482,0.010378551483154298,0.7552726052617343,0.7556140581808608,0.7568358609615855,0.7556140581808608,18
SVC,0.7947598253275109,0.7947715667562679,0.7950561259912395,0.7947598253275109,0.07761678695678711,0.04235959053039551,0.7649035284722607,0.7649730156640778,0.7652797077712362,0.7649730156640778,18
