description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7467248908296943,0.7445834821704653,0.7565902656200977,0.7467248908296943,0.009702396392822266,0.027941370010375978,0.7077334419449605,0.7125575885217849,0.7256365162140435,0.7125575885217849,1
DecisionTree,0.7860262008733624,0.7859282443415735,0.7869112268397139,0.7860262008733624,0.06521239280700683,0.0085235595703125,0.7696061143528954,0.7696590759510333,0.769916268440906,0.7696590759510333,1
Bagging,0.7969432314410481,0.7957535084898713,0.8029954306037005,0.7969432314410481,0.39181995391845703,0.011193561553955077,0.8132037800320597,0.8137159405028301,0.8182060269538679,0.8137159405028301,1
RandomForest,0.8449781659388647,0.8436013648382392,0.8561893555844651,0.8449781659388647,0.3231498718261719,0.01836733818054199,0.8340787125286135,0.8352288183932254,0.8459407311572911,0.8352288183932254,1
ExtraTrees,0.8362445414847162,0.8345032434420268,0.8495061517180371,0.8362445414847162,0.29425649642944335,0.020380020141601562,0.8408313198648203,0.8417708744679917,0.8508397190631495,0.8417708744679917,1
AdaBoost,0.8078602620087336,0.8078309416862932,0.8079249246609272,0.8078602620087336,0.4383217811584473,0.017960023880004884,0.8116761780485027,0.8118116800491422,0.8126769958661129,0.8118116800491422,1
GradientBoosting,0.8777292576419214,0.8777222616809229,0.8777487489926346,0.8777292576419214,1.8134819984436035,0.009211158752441407,0.8809275134204826,0.8810934140669563,0.8834754110384274,0.8810934140669563,1
XGBoost,0.8995633187772926,0.8994712753097651,0.9006184750133838,0.8995633187772926,2.3437532424926757,0.017138004302978516,0.8875180563113443,0.8876354701417227,0.8896838407203476,0.8876354701417227,1
Gaussian Process,0.5764192139737991,0.48102413216775775,0.7697713845363473,0.5764192139737991,0.6246284008026123,0.1003936767578125,0.4602299101711421,0.5627396779430478,0.7671790525902201,0.5627396779430478,1
Hist Gradient Boosting,0.8995633187772926,0.8994712753097651,0.9006184750133838,0.8995633187772926,4.161031293869018,0.012250423431396484,0.8827415679898095,0.882958185248563,0.8863609850094173,0.882958185248563,1
SVC,0.7707423580786026,0.7693991224885645,0.7762036870301174,0.7707423580786026,0.11722970008850098,0.0680354118347168,0.7798785790191611,0.7808959677065509,0.7861697258981986,0.7808959677065509,1
