description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.8034934497816594,0.8037183885983012,0.8083603550260348,0.8034934497816594,0.0024884223937988283,0.016174697875976564,0.7898057171360116,0.7911938923259181,0.7962867211492252,0.7911938923259181,20
DecisionTree,0.8187772925764192,0.8190239388594989,0.8210264044863818,0.8187772925764192,0.06294403076171876,0.004544401168823242,0.8164558121974468,0.8164977403360976,0.816930604382665,0.8164977403360976,20
Bagging,0.8580786026200873,0.8581771011225026,0.8584804475412643,0.8580786026200873,0.48624205589294434,0.005892562866210938,0.8697834109737268,0.8698916238866218,0.87274233269493,0.8698916238866218,20
RandomForest,0.9061135371179039,0.9061283843841078,0.9061519041468608,0.9061135371179039,0.4853401184082031,0.013059711456298828,0.9034370760109663,0.9035233206090123,0.9051103674800753,0.9035233206090123,20
ExtraTrees,0.8930131004366813,0.8930873531538865,0.8933748652410448,0.8930131004366813,0.16551456451416016,0.01402745246887207,0.9044081972290519,0.9044710631389584,0.9058496956957169,0.9044710631389584,20
AdaBoost,0.8799126637554585,0.8799661501626018,0.8800953351713313,0.8799126637554585,0.5758151054382324,0.011148405075073243,0.8857049298198753,0.8857794743539117,0.8867875902746377,0.8857794743539117,20
GradientBoosting,0.9170305676855895,0.9171257579630216,0.9180957658124412,0.9170305676855895,2.5319785118103026,0.005236434936523438,0.9063452253046528,0.9063753235926463,0.9071273139559197,0.9063753235926463,20
XGBoost,0.9213973799126638,0.9214425399900849,0.9216286191276267,0.9213973799126638,0.8754867553710938,0.008426284790039063,0.9100970080219218,0.9101443552279409,0.9112290177360169,0.9101443552279409,20
Gaussian Process,0.8362445414847162,0.8363921216847944,0.8423637601889992,0.8362445414847162,0.33695712089538576,0.02013392448425293,0.8056634619688712,0.8070949058839016,0.8125689294600095,0.8070949058839016,20
Hist Gradient Boosting,0.9192139737991266,0.9192870168730232,0.9197901000067662,0.9192139737991266,1.012464714050293,0.008077764511108398,0.9175888621173968,0.9176078276512658,0.9180946434391771,0.9176078276512658,20
SVC,0.8275109170305677,0.8277455243764379,0.8308281436996594,0.8275109170305677,0.037470006942749025,0.015431880950927734,0.8159976642691047,0.8164933526391996,0.8181548963333489,0.8164933526391996,20
