description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9279475982532751,0.9279390099123195,0.9281517094017094,0.9279475982532751,0.005432653427124024,0.021503210067749023,0.9128019778525444,0.9128998288798209,0.914674376697579,0.9128998288798209,25
DecisionTree,0.8165938864628821,0.81657989587505,0.8166905102527421,0.8165938864628821,0.24698948860168457,0.0065787315368652345,0.7710023164220287,0.7715501733140274,0.7737609544122769,0.7715501733140274,25
Bagging,0.9039301310043668,0.9038641351016125,0.9050423542459414,0.9039301310043668,1.571570873260498,0.008440113067626953,0.8536137052185939,0.853964284147251,0.8573719676961513,0.853964284147251,25
RandomForest,0.9475982532751092,0.94758226037196,0.9481451782270844,0.9475982532751092,0.7510981559753418,0.01468954086303711,0.9231887700415922,0.9232416304681672,0.9242763880873959,0.9232416304681672,25
ExtraTrees,0.9410480349344978,0.9410342607824905,0.9414605283249351,0.9410480349344978,0.22111139297485352,0.015617656707763671,0.9109634168366106,0.9110394453951122,0.9125151747541146,0.9110394453951122,25
AdaBoost,0.9061135371179039,0.9061023462493861,0.9063072344322345,0.9061135371179039,1.8695395469665528,0.014600801467895507,0.8941264986789088,0.8941863016102847,0.8950289798086324,0.8941863016102847,25
GradientBoosting,0.9344978165938864,0.9344528193874629,0.9356942080807694,0.9344978165938864,8.559125471115113,0.007122182846069336,0.9100704309365579,0.9101092536527577,0.9107327125345062,0.9101092536527577,25
XGBoost,0.9454148471615721,0.9454125050654334,0.9454913030210559,0.9454148471615721,2.5650720596313477,0.011803913116455077,0.9063046266059921,0.9063665481988504,0.9074071806870396,0.9063665481988504,25
Gaussian Process,0.9366812227074236,0.9366664282478602,0.9370896320048862,0.9366812227074236,0.4466850757598877,0.060900402069091794,0.9081979206286054,0.9082708086525383,0.9094431033382324,0.9082708086525383,25
Hist Gradient Boosting,0.9344978165938864,0.934466575091575,0.935327945587589,0.9344978165938864,5.161339473724365,0.011745786666870118,0.9072897222123629,0.9073274538194902,0.9079493713829393,0.9073274538194902,25
SVC,0.9410480349344978,0.94104775389368,0.9410564454614797,0.9410480349344978,0.05218582153320313,0.03024568557739258,0.9185229635085838,0.9185687332719056,0.9194928630824435,0.9185687332719056,25
