description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9563318777292577,0.9563486599287814,0.956402142488211,0.9563318777292577,0.013477182388305664,0.033429431915283206,0.9494130478398161,0.94943618094862,0.9495569109449733,0.94943618094862,7
DecisionTree,0.9213973799126638,0.9215448209456536,0.9234149218421293,0.9213973799126638,0.6477163314819336,0.010362195968627929,0.9155786552551826,0.9157255056820673,0.9172928124125187,0.9157255056820673,7
Bagging,0.9563318777292577,0.9562222118180204,0.9570401699222659,0.9563318777292577,3.719585418701172,0.013543939590454102,0.9457050853123409,0.945689087797815,0.9463532034930495,0.945689087797815,7
RandomForest,0.9759825327510917,0.9759293185310464,0.9766424982900374,0.9759825327510917,1.1892574787139893,0.018131160736083986,0.9597634358170432,0.9597516563555789,0.9601388206242693,0.9597516563555789,7
ExtraTrees,0.9716157205240175,0.971568769969385,0.9719823055216501,0.9716157205240175,0.23157939910888672,0.01879911422729492,0.9606901229791204,0.9606774604010356,0.9610731801768031,0.9606774604010356,7
AdaBoost,0.9650655021834061,0.9650789279430252,0.9651293944821202,0.9650655021834061,5.867761039733887,0.021950674057006837,0.954119313137795,0.9541266289324734,0.9542210767514818,0.9541266289324734,7
GradientBoosting,0.9672489082969432,0.9672276248721654,0.9672902063090397,0.9672489082969432,27.386328363418578,0.011080217361450196,0.9606869570862291,0.9606818480979333,0.9608783955306981,0.9606818480979333,7
XGBoost,0.9694323144104804,0.969389879755849,0.9696846356305937,0.9694323144104804,4.767229461669922,0.021228551864624023,0.968187242780193,0.9681804220964416,0.9684852090206875,0.9681804220964416,7
Gaussian Process,0.9650655021834061,0.9650507099715393,0.9650730729396945,0.9650655021834061,4.015422773361206,0.17343153953552246,0.9559982584243052,0.9560001755078759,0.9560890770964807,0.9560001755078759,7
Hist Gradient Boosting,0.9759825327510917,0.9759553394538767,0.9761636924006164,0.9759825327510917,17.764935731887817,0.016159915924072267,0.969124332216445,0.9691193892325918,0.9693087104005723,0.9691193892325918,7
SVC,0.9541484716157205,0.9541575060522854,0.9541757007344478,0.9541484716157205,0.0894533634185791,0.060599327087402344,0.9578760692629977,0.9578737220832785,0.9579543130233699,0.9578737220832785,7
