description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9541484716157205,0.9541688936984479,0.9542714645182402,0.9541484716157205,0.017981195449829103,0.03818984031677246,0.9494338626337976,0.94943618094862,0.9499301040800333,0.94943618094862,15
DecisionTree,0.925764192139738,0.9258068433239691,0.9259910872654026,0.925764192139738,0.7651323318481446,0.010571670532226563,0.9120224653936255,0.9120222895002413,0.9133514120620259,0.9120222895002413,15
Bagging,0.9541484716157205,0.954208271385688,0.9558057778527445,0.9541484716157205,3.801715087890625,0.014082193374633789,0.9475361611110283,0.947584572857707,0.9483170316249719,0.947584572857707,15
RandomForest,0.9694323144104804,0.9694627230355694,0.9700855014494881,0.9694323144104804,1.189652442932129,0.01833829879760742,0.9550121073400565,0.9550480452810322,0.9557383933195254,0.9550480452810322,15
ExtraTrees,0.9672489082969432,0.9672841432155055,0.9680671697209006,0.9672489082969432,0.22310924530029297,0.01903700828552246,0.9578236611769719,0.9578649466894827,0.9585700112684481,0.9578649466894827,15
AdaBoost,0.9585152838427947,0.9585527924483092,0.9590388491191747,0.9585152838427947,5.890249633789063,0.021665573120117188,0.9503719276186647,0.9503839234785663,0.9507407178531206,0.9503839234785663,15
GradientBoosting,0.9541484716157205,0.9541978005017078,0.9549847415441943,0.9541484716157205,27.648244428634644,0.011192083358764648,0.9541219117213116,0.9541266289324734,0.9544172729495048,0.9541266289324734,15
XGBoost,0.9650655021834061,0.9651002548977936,0.965724694006225,0.9650655021834061,4.668944406509399,0.019070768356323244,0.9541088949328062,0.9541310166293713,0.9545325550712473,0.9541310166293713,15
Gaussian Process,0.962882096069869,0.9629078572166546,0.9631637006406054,0.962882096069869,0.7196938514709472,0.1483592987060547,0.9512894088486574,0.9513053398271246,0.9515413118561659,0.9513053398271246,15
Hist Gradient Boosting,0.9650655021834061,0.9651002548977936,0.965724694006225,0.9650655021834061,12.989977169036866,0.016594362258911134,0.960674056292962,0.9606862357948314,0.9609370650569126,0.9606862357948314,15
SVC,0.9606986899563319,0.9607302844634011,0.961092303994231,0.9606986899563319,0.16095380783081054,0.0730438232421875,0.9522438814986034,0.9522574700539688,0.9524946740590062,0.9522574700539688,15
