description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9410480349344978,0.9410183524466568,0.9410699193045298,0.9410480349344978,0.012259483337402344,0.032415342330932614,0.9550659737671575,0.9550699837655214,0.9553429007608925,0.9550699837655214,10
DecisionTree,0.9126637554585153,0.9127439156921424,0.9133814277125707,0.9126637554585153,0.6747766971588135,0.010146141052246094,0.921387577046111,0.9213856346803564,0.9220856626885012,0.9213856346803564,10
Bagging,0.9475982532751092,0.947637350078795,0.9480022215753611,0.9475982532751092,3.546920728683472,0.013385581970214843,0.9541098971333781,0.9541485674169629,0.9548424566192326,0.9541485674169629,10
RandomForest,0.9585152838427947,0.9585563254287843,0.9593381869027638,0.9585152838427947,1.1705083847045898,0.01789689064025879,0.9690998872651851,0.9691193892325918,0.9695860964329279,0.9691193892325918,10
ExtraTrees,0.9606986899563319,0.9607280125590962,0.9610876408476527,0.9606986899563319,0.23581466674804688,0.018381071090698243,0.967213742591445,0.9672370672633933,0.967763863345297,0.9672370672633933,10
AdaBoost,0.962882096069869,0.962887606790605,0.9629023344749356,0.962882096069869,5.898600292205811,0.021605539321899413,0.9569296467429158,0.9569435303409242,0.9573517466357118,0.9569435303409242,10
GradientBoosting,0.9650655021834061,0.9650755377561664,0.9651225060294941,0.9650655021834061,27.708460521697997,0.011104249954223632,0.968157228138503,0.9681716467026458,0.9685342231160833,0.9681716467026458,10
XGBoost,0.9606986899563319,0.9607099799756872,0.9607580341362768,0.9606986899563319,4.958302116394043,0.02434201240539551,0.9700326011327671,0.9700495809749462,0.9704795826061311,0.9700495809749462,10
Gaussian Process,0.9301310043668122,0.9299534978244104,0.9310703546478438,0.9301310043668122,5.338833284378052,0.1736724853515625,0.9410211061128926,0.9410161906015533,0.9418624933270691,0.9410161906015533,10
Hist Gradient Boosting,0.9672489082969432,0.9672700597662184,0.9675222513788176,0.9672489082969432,13.735313940048218,0.015321731567382812,0.9690828313937068,0.969110613838796,0.9697267110646571,0.969110613838796,10
SVC,0.9541484716157205,0.9541675651715732,0.9542687694732157,0.9541484716157205,0.07640933990478516,0.04246478080749512,0.9644154605611457,0.9644333289456364,0.9647353480191807,0.9644333289456364,10
