description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9235807860262009,0.923398694503102,0.9242963305234824,0.9235807860262009,0.005245018005371094,0.024002981185913087,0.898881491444158,0.8988767495941381,0.9003205225075304,0.8988767495941381,15
DecisionTree,0.8537117903930131,0.8538133196185794,0.8541186453287918,0.8537117903930131,0.3489950656890869,0.006588268280029297,0.8294335766652093,0.8295555263042429,0.8323792166393268,0.8295555263042429,15
Bagging,0.9192139737991266,0.9193239245518247,0.9214056243662077,0.9192139737991266,1.9290278434753418,0.008385610580444337,0.8912650512943555,0.8913781755956298,0.8923538283330276,0.8913781755956298,15
RandomForest,0.9432314410480349,0.9432488463741483,0.9433023590955407,0.9432314410480349,0.9256222248077393,0.014611530303955077,0.9073031564968801,0.9073011276381028,0.9075540007301122,0.9073011276381028,15
ExtraTrees,0.9388646288209607,0.9389254460711388,0.9395598493466462,0.9388646288209607,0.21645045280456543,0.015395927429199218,0.9082460611930525,0.9082576455618445,0.9086790039351333,0.9082576455618445,15
AdaBoost,0.9410480349344978,0.9410573576365329,0.9410756909935388,0.9410480349344978,2.3752760887145996,0.014832258224487305,0.8960654369136709,0.8960642358825851,0.8965009639205951,0.8960642358825851,15
GradientBoosting,0.9475982532751092,0.9475801549302112,0.9475984209714313,0.9475982532751092,11.278430938720703,0.007941055297851562,0.9110327323488612,0.9110350576982142,0.9114614653123259,0.9110350576982142,15
XGBoost,0.9344978165938864,0.9344978165938864,0.9344978165938864,0.9344978165938864,2.927955961227417,0.013236570358276366,0.9110289196556149,0.9110262823044184,0.9116581474851049,0.9110262823044184,15
Gaussian Process,0.8842794759825328,0.8842600541077725,0.884249102602785,0.8842794759825328,0.53263840675354,0.07112369537353516,0.8322740273917356,0.8324163046816725,0.8335791586020704,0.8324163046816725,15
Hist Gradient Boosting,0.9410480349344978,0.9410573576365329,0.9410756909935388,0.9410480349344978,5.4156513690948485,0.013567590713500976,0.9204273291825068,0.9204247290597166,0.9205979563192963,0.9204247290597166,15
SVC,0.9061135371179039,0.9057206119173673,0.9078729916261257,0.9061135371179039,0.08178863525390626,0.04414443969726563,0.8621502891407491,0.8623711114036242,0.867308665133175,0.8623711114036242,15
