description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9213973799126638,0.9213373102769387,0.9218413746786741,0.9213973799126638,0.00531768798828125,0.020444154739379883,0.9052614829325216,0.9054144179720065,0.9087199377839029,0.9054144179720065,26
DecisionTree,0.8296943231441049,0.8294598544607459,0.8303699946869627,0.8296943231441049,0.3384411811828613,0.006615066528320312,0.8332352179169323,0.8333245579395376,0.8343764319217698,0.8333245579395376,26
Bagging,0.8777292576419214,0.8777292576419214,0.8789351827740693,0.8777292576419214,2.011809778213501,0.008530998229980468,0.9052990608580742,0.9054144179720065,0.9069787105174442,0.9054144179720065,26
RandomForest,0.9454148471615721,0.9454177112528188,0.9454295931506631,0.9454148471615721,0.9252108097076416,0.014508771896362304,0.9203701067028811,0.920407178272125,0.921479479096487,0.920407178272125,26
ExtraTrees,0.9344978165938864,0.9344978165938864,0.9344978165938864,0.9344978165938864,0.21777520179748536,0.015243196487426757,0.921300961635497,0.9213373700144795,0.9222188906321286,0.9213373700144795,26
AdaBoost,0.8995633187772926,0.8995326376214501,0.8996394069825444,0.8995633187772926,2.3621416091918945,0.014647102355957032,0.8885013964224973,0.8885876003685664,0.889861723513064,0.8885876003685664,26
GradientBoosting,0.9366812227074236,0.9366240514987734,0.9372931417564795,0.9366812227074236,11.119702816009521,0.00959014892578125,0.904433863593383,0.9044973893203456,0.9057934438362839,0.9044973893203456,26
XGBoost,0.9497816593886463,0.9497842943525932,0.949795988824373,0.9497816593886463,2.893077850341797,0.012046289443969727,0.9260074204756645,0.9260278179983328,0.9267834831217681,0.9260278179983328,26
Gaussian Process,0.8951965065502183,0.894971834499948,0.8969500560297048,0.8951965065502183,0.396490478515625,0.0653085708618164,0.8641291955762231,0.8642139441007416,0.865505379958388,0.8642139441007416,26
Hist Gradient Boosting,0.9432314410480349,0.9432238563039392,0.9432522842245584,0.9432314410480349,4.277919483184815,0.011650943756103515,0.9175452873551844,0.9175858891667763,0.918758587413105,0.9175858891667763,26
SVC,0.9017467248908297,0.9013674486573056,0.9056026370129651,0.9017467248908297,0.06415133476257324,0.03550429344177246,0.8807577169528777,0.8810670878855689,0.8861183849677889,0.8810670878855689,26
