description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.8755458515283843,0.8752112701109047,0.8773137801006317,0.8755458515283843,0.0015701770782470704,0.014808177947998047,0.8931685365147028,0.8932429467772366,0.8952859449979812,0.8932429467772366,6
DecisionTree,0.8493449781659389,0.8493327517170968,0.8493286318100086,0.8493449781659389,0.010770177841186524,0.0045493125915527345,0.8500376414103099,0.8501513755429777,0.8512717504497331,0.8501513755429777,6
Bagging,0.8777292576419214,0.8777642481245101,0.8781005078833216,0.8777292576419214,0.07262563705444336,0.005769920349121094,0.8790277728150515,0.8792154797946556,0.8812419876557513,0.8792154797946556,6
RandomForest,0.9192139737991266,0.9192351680743518,0.9194754894840712,0.9192139737991266,0.21883621215820312,0.01266651153564453,0.9128448471717941,0.9128998288798209,0.9136818362367762,0.9128998288798209,6
ExtraTrees,0.925764192139738,0.9257854298784836,0.92668940303744,0.925764192139738,0.12151546478271484,0.013980340957641602,0.9306725225692956,0.9306919398007987,0.9308990908469124,0.9306919398007987,6
AdaBoost,0.8930131004366813,0.892983978345426,0.8930316293417732,0.8930131004366813,0.12791643142700196,0.010458421707153321,0.8866811400998726,0.8867316045807556,0.8872186014658716,0.8867316045807556,6
GradientBoosting,0.9082969432314411,0.908317941927772,0.9084775297628345,0.9082969432314411,0.4109455108642578,0.004830026626586914,0.9082077849727339,0.9082576455618445,0.9090125802654987,0.9082576455618445,6
XGBoost,0.9061135371179039,0.9060879809970065,0.9061403289131045,0.9061135371179039,0.2725805759429932,0.006970739364624024,0.9100557077239417,0.9100873151682682,0.9105821915755967,0.9100873151682682,6
Gaussian Process,0.8187772925764192,0.8188317415807146,0.8192686838607817,0.8187772925764192,0.15243949890136718,0.009305191040039063,0.8377805876960001,0.838010618226493,0.8392168214108231,0.838010618226493,6
Hist Gradient Boosting,0.9235807860262009,0.9235599845324473,0.9236185950082128,0.9235807860262009,0.2836371898651123,0.009325218200683594,0.9156642179339138,0.9157342810758633,0.9166720333802971,0.9157342810758633,6
SVC,0.9017467248908297,0.9016071251936143,0.9025141032606873,0.9017467248908297,0.015966129302978516,0.008824968338012695,0.9091371111640425,0.9091483480321181,0.9095663507517093,0.9091483480321181,6
