description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9323144104803494,0.9323031142181212,0.9325141897440534,0.9323144104803494,0.010323619842529297,0.029022932052612305,0.8884980591020776,0.8885919880654644,0.8900036096258106,0.8885919880654644,13
DecisionTree,0.8427947598253275,0.8427047654124806,0.8434199017133396,0.8427947598253275,0.6068455696105957,0.009033536911010743,0.8407660773530345,0.8407836426659646,0.8409255566734604,0.8407836426659646,13
Bagging,0.8908296943231441,0.8907130059524405,0.8927792715913675,0.8908296943231441,3.835032510757446,0.011782264709472657,0.9005247272373735,0.9007459084726428,0.9041150479469726,0.9007459084726428,13
RandomForest,0.9301310043668122,0.9301150135988157,0.9306671040813592,0.9301310043668122,1.3242486476898194,0.01695113182067871,0.911889679321925,0.9119959633188539,0.9139023539589785,0.9119959633188539,13
ExtraTrees,0.9388646288209607,0.9388646288209607,0.9389004360150424,0.9388646288209607,0.2678213119506836,0.01772160530090332,0.9193998057706363,0.91949892501426,0.9212474446629845,0.91949892501426,13
AdaBoost,0.9192139737991266,0.919200491163564,0.9194062535284269,0.9192139737991266,4.677264213562012,0.019141721725463866,0.9100915248314136,0.9100960905620639,0.9101671850470023,0.9100960905620639,13
GradientBoosting,0.925764192139738,0.9257556970442397,0.9258884916636008,0.925764192139738,21.772874975204466,0.00974879264831543,0.9232171503627932,0.9232372427712694,0.9236017517805764,0.9232372427712694,13
XGBoost,0.9279475982532751,0.9279424452487018,0.9280169424817738,0.9279475982532751,5.205149459838867,0.016764259338378905,0.9259706114709043,0.9260234303014349,0.9270828984523904,0.9260234303014349,13
Gaussian Process,0.888646288209607,0.8886128315925098,0.8889949945528443,0.888646288209607,0.6194311618804932,0.11597566604614258,0.880112938524946,0.8801544469308059,0.880575117432908,0.8801544469308059,13
Hist Gradient Boosting,0.9432314410480349,0.9432314410480349,0.9432314410480349,0.9432314410480349,10.132963228225709,0.01300201416015625,0.9269389623155657,0.9269931113158704,0.9283363782904207,0.9269931113158704,13
SVC,0.9192139737991266,0.9192081961879384,0.9192813189147315,0.9192139737991266,0.07324657440185547,0.0444483757019043,0.9054050919355928,0.9054451318502919,0.9060239577394225,0.9054451318502919,13
