description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9454148471615721,0.9454030230366954,0.9454002944855957,0.9454148471615721,0.04021530151367188,0.07350525856018067,0.9363527501048534,0.9363432934052917,0.9374796205226616,0.9363432934052917,19
DecisionTree,0.8930131004366813,0.8931992091921216,0.894416873656237,0.8930131004366813,1.9927066802978515,0.022812843322753906,0.8969884704793785,0.8969988153218376,0.8975378145220236,0.8969988153218376,19
Bagging,0.9170305676855895,0.9171657955147567,0.9181770260269423,0.9170305676855895,11.885080814361572,0.038226985931396486,0.926835889335543,0.9269799482251766,0.9285937684710058,0.9269799482251766,19
RandomForest,0.9366812227074236,0.9367913687055412,0.9379840050478747,0.9366812227074236,2.2238261699676514,0.0309476375579834,0.9475128965333811,0.9475582466763196,0.948050426289013,0.9475582466763196,19
ExtraTrees,0.9432314410480349,0.9433098672092596,0.9439656372123114,0.9432314410480349,0.4913610935211182,0.032067298889160156,0.9522015649679909,0.9522486946601729,0.9527484150805581,0.9522486946601729,19
AdaBoost,0.9279475982532751,0.927931990408438,0.9279253065819819,0.9279475982532751,18.760039806365967,0.04975485801696777,0.9409920659875853,0.9410030275108596,0.9411038917244289,0.9410030275108596,19
GradientBoosting,0.9432314410480349,0.9432314410480349,0.9432314410480349,0.9432314410480349,87.91383929252625,0.024389314651489257,0.9494287477536162,0.9494317932517221,0.9496579297670837,0.9494317932517221,19
XGBoost,0.9432314410480349,0.9432750747667967,0.9434633679863572,0.9432314410480349,15.1538743019104,0.048842668533325195,0.9578394049760464,0.9578605589925846,0.9581462852627226,0.9578605589925846,19
Gaussian Process,0.9410480349344978,0.9411032379098091,0.9413838018663617,0.9410480349344978,5.549175214767456,1.99646954536438,0.9419324876682964,0.9419551577377036,0.9428442661522183,0.9419551577377036,19
Hist Gradient Boosting,0.9563318777292577,0.9563654421283051,0.9565457063226819,0.9563318777292577,48.76018242835998,0.03128962516784668,0.9540939155295385,0.9541178535386775,0.9545146795997976,0.9541178535386775,19
SVC,0.9563318777292577,0.9563796711810516,0.9567571367067031,0.9563318777292577,0.9702624320983887,0.2754351615905762,0.9577987215679327,0.9578605589925848,0.9586698301424132,0.9578605589925848,19
