description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9432314410480349,0.9431749678871553,0.9436969932029385,0.9432314410480349,0.013130283355712891,0.03414006233215332,0.9325807824007274,0.9325962002544863,0.9335661061890417,0.9325962002544863,42
DecisionTree,0.888646288209607,0.8885850858445346,0.8887363492714248,0.888646288209607,0.5787541389465332,0.009780597686767579,0.890422354192102,0.8904435961563776,0.8912017651801849,0.8904435961563776,42
Bagging,0.925764192139738,0.925764192139738,0.9286284740176342,0.925764192139738,3.262392044067383,0.013609647750854492,0.9268930203229324,0.926962397437585,0.9280321782643031,0.926962397437585,42
RandomForest,0.9541484716157205,0.9541661839424191,0.9549207681012949,0.9541484716157205,1.2210840702056884,0.018262481689453124,0.9597098261634276,0.9597428809617832,0.9606880943977483,0.9597428809617832,42
ExtraTrees,0.9563318777292577,0.9563468767980655,0.9566901708746817,0.9563318777292577,0.3069139957427979,0.019103574752807616,0.9568956622949096,0.9569259795533325,0.9575890763621457,0.9569259795533325,42
AdaBoost,0.9432314410480349,0.9432205951415845,0.9432457967763044,0.9432314410480349,4.760962629318238,0.01980414390563965,0.9438154967510911,0.9438199289193102,0.9442051477524694,0.9438199289193102,42
GradientBoosting,0.9541484716157205,0.9541583185596177,0.9542500903068933,0.9541484716157205,21.866965770721436,0.009654760360717773,0.9550483844511037,0.9550568206748279,0.9552764685524124,0.9550568206748279,42
XGBoost,0.9606986899563319,0.9607091919096952,0.9608663110300665,0.9606986899563319,4.109933280944825,0.01636338233947754,0.951301556991336,0.9513097275240228,0.9516453744511857,0.9513097275240228,42
Gaussian Process,0.9519650655021834,0.9519650655021834,0.9519650655021834,0.9519650655021834,0.6494351863861084,0.11654348373413086,0.9550279412248182,0.9550480452810319,0.9556658494596139,0.9550480452810319,42
Hist Gradient Boosting,0.9563318777292577,0.956343546566328,0.9565011650164489,0.9563318777292577,9.03578028678894,0.013430452346801758,0.9559984954904073,0.9560045632047739,0.9561871052639124,0.9560045632047739,42
SVC,0.9650655021834061,0.9650775014384525,0.9654207970598307,0.9650655021834061,0.052222919464111325,0.030733060836791993,0.9681462672844402,0.9681584836119521,0.9685257398920006,0.9681584836119521,42
