description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9541484716157205,0.9541039199853973,0.954507715383082,0.9541484716157205,0.009588479995727539,0.028217077255249023,0.9306936642167143,0.9307226536790838,0.9325237762564612,0.9307226536790838,14
DecisionTree,0.9170305676855895,0.9170749092664569,0.9176788600714519,0.9170305676855895,0.512683629989624,0.008756446838378906,0.9006897941724162,0.9007283576850511,0.9012030980396126,0.9007283576850511,14
Bagging,0.9475982532751092,0.9476282451173281,0.9489592597403895,0.9475982532751092,3.0185009956359865,0.01209878921508789,0.9493872077327901,0.9494493440393137,0.9506323560435609,0.9494493440393137,14
RandomForest,0.9650655021834061,0.9650854967448853,0.9664305057308166,0.9650655021834061,1.1060810565948487,0.016774797439575197,0.9578378566875998,0.9578781097801764,0.958702093637896,0.9578781097801764,14
ExtraTrees,0.9716157205240175,0.9716315651801337,0.9723978193670207,0.9716157205240175,0.23284573554992677,0.017474794387817384,0.9578269437681127,0.9578737220832785,0.9587669248915114,0.9578737220832785,14
AdaBoost,0.9737991266375546,0.973811132307232,0.9741575291520707,0.9737991266375546,4.527698278427124,0.01954655647277832,0.9494251578143393,0.9494537317362116,0.9500604928343437,0.9494537317362116,14
GradientBoosting,0.9737991266375546,0.9738131292420392,0.9744214340254227,0.9737991266375546,21.49319109916687,0.009907341003417969,0.9578447503380871,0.9578737220832784,0.9583678563353534,0.9578737220832784,14
XGBoost,0.9694323144104804,0.9694498096517747,0.9707983172284232,0.9694323144104804,4.223316097259522,0.016766691207885744,0.9587888735340531,0.9588126892194287,0.9592112244365293,0.9588126892194287,14
Gaussian Process,0.9672489082969432,0.967267190592462,0.9680325061314999,0.9672489082969432,0.6491350650787353,0.11666307449340821,0.9634841590508236,0.963494361809486,0.963938498643629,0.963494361809486,14
Hist Gradient Boosting,0.9737991266375546,0.9738141257063624,0.9747575936233216,0.9737991266375546,11.109609222412109,0.016184473037719728,0.9606461231183747,0.9606774604010356,0.9613116172203433,0.9606774604010356,14
SVC,0.9737991266375546,0.9738141225586641,0.9751661287260299,0.9737991266375546,0.06365375518798828,0.03443078994750977,0.9728424068146755,0.972862094686499,0.9733699492483158,0.972862094686499,14
