description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9192139737991266,0.9188464799979635,0.9224176520169719,0.9192139737991266,0.01095113754272461,0.030713272094726563,0.922244171268391,0.9222719494537317,0.9240099019616508,0.9222719494537317,9
DecisionTree,0.8842794759825328,0.8840123794972408,0.8851844248341292,0.8842794759825328,0.7255983829498291,0.010607385635375976,0.9007184407105532,0.9007415207757449,0.9010939245721719,0.9007415207757449,9
Bagging,0.9170305676855895,0.9170859946616737,0.9180157382454287,0.9170305676855895,3.823934030532837,0.013360691070556641,0.9334465835005817,0.9335044535123513,0.9342138246755903,0.9335044535123513,9
RandomForest,0.9388646288209607,0.938887989234854,0.9390547185908545,0.9388646288209607,1.370225429534912,0.019382715225219727,0.9428187571251903,0.9428677986924663,0.943560531444883,0.9428677986924663,9
ExtraTrees,0.9475982532751092,0.9476092704619204,0.9476564874497427,0.9475982532751092,0.3189981937408447,0.01890530586242676,0.9437141217346994,0.943793602737923,0.9450426599896231,0.943793602737923,9
AdaBoost,0.9388646288209607,0.9388119420639696,0.9390833171551446,0.9388646288209607,4.829256820678711,0.020362377166748047,0.9287408731992569,0.9288271686191918,0.9305722182587098,0.9288271686191918,9
GradientBoosting,0.9454148471615721,0.9454083221766529,0.9454108372329889,0.9454148471615721,22.14340786933899,0.009895610809326171,0.9446903298681079,0.9447281821771754,0.9455767847918265,0.9447281821771754,9
XGBoost,0.9519650655021834,0.9519751645900939,0.9520216310758246,0.9519650655021834,4.452560377120972,0.01782064437866211,0.9446873345850253,0.9447325698740731,0.9455473709373914,0.9447325698740731,9
Gaussian Process,0.9410480349344978,0.941007120171956,0.941191636003861,0.9410480349344978,0.6308015346527099,0.12466754913330078,0.9418898693794381,0.9419288315563161,0.9426931412583043,0.9419288315563161,9
Hist Gradient Boosting,0.9475982532751092,0.9475982532751092,0.9475982532751092,0.9475982532751092,8.72133173942566,0.01294245719909668,0.94372635022362,0.943784827344127,0.944886570537023,0.943784827344127,9
SVC,0.9388646288209607,0.9388646288209607,0.9388646288209607,0.9388646288209607,0.05179018974304199,0.036519432067871095,0.9568348961287143,0.9568908779781493,0.95796544465205,0.9568908779781493,9
