description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9039301310043668,0.9036435581691503,0.9092480749821504,0.9039301310043668,0.009505558013916015,0.028644609451293945,0.8956643824093318,0.8960642358825852,0.9017087260667959,0.8960642358825852,4
DecisionTree,0.8668122270742358,0.8666501432516726,0.8688870172584687,0.8668122270742358,0.617219877243042,0.009085130691528321,0.8434818954036005,0.8436093194682112,0.8445769864659965,0.8436093194682112,4
Bagging,0.9104803493449781,0.9103970410735932,0.9117858795120904,0.9104803493449781,3.5838874340057374,0.011780071258544921,0.8968266968521897,0.8969724891404501,0.8990376705829277,0.8969724891404501,4
RandomForest,0.9519650655021834,0.9519650655021834,0.9520013723315314,0.9519650655021834,1.2385145664215087,0.017137861251831053,0.9213290783247906,0.921359308498969,0.921901813643219,0.921359308498969,4
ExtraTrees,0.9454148471615721,0.9454109436680077,0.9456324589296834,0.9454148471615721,0.2563314437866211,0.01783137321472168,0.9232043249103326,0.9232284673774735,0.9237105902685055,0.9232284673774735,4
AdaBoost,0.9213973799126638,0.9213673932192591,0.9222171997024295,0.9213973799126638,4.722851228713989,0.019660043716430663,0.9156892449659125,0.9157167302882717,0.916189551046769,0.9157167302882717,4
GradientBoosting,0.9410480349344978,0.9410202012782573,0.942080022933252,0.9410480349344978,22.21846957206726,0.011093378067016602,0.9288096268643811,0.9288271686191918,0.9291813314821887,0.9288271686191918,4
XGBoost,0.9475982532751092,0.9475682614328904,0.9488421938223629,0.9475982532751092,5.002869129180908,0.016687774658203126,0.9241304296844112,0.9241454960291342,0.9244639251925687,0.9241454960291342,4
Gaussian Process,0.9170305676855895,0.9168561988818872,0.9209472623446423,0.9170305676855895,0.6291427612304688,0.121307373046875,0.903304354337671,0.9035628098810934,0.9075026925156318,0.9035628098810934,4
Hist Gradient Boosting,0.9585152838427947,0.9585146905344016,0.9585963543026428,0.9585152838427947,8.629150009155273,0.012766265869140625,0.9353897469477157,0.9353911631784477,0.9354458172280833,0.9353911631784477,4
SVC,0.9082969432314411,0.9082619587558021,0.9090942450819153,0.9082969432314411,0.09046735763549804,0.05630269050598145,0.898767750626539,0.8988591988065464,0.900356043711863,0.8988591988065464,4
