description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.9148471615720524,0.9148272655747085,0.9152351504046419,0.9148471615720524,0.005276250839233399,0.02051677703857422,0.9193985629623072,0.919463823439077,0.9208783039536602,0.919463823439077,22
DecisionTree,0.8165938864628821,0.8165064102564101,0.8171987543226151,0.8165938864628821,0.3507398128509521,0.006539201736450196,0.819149036972491,0.8193014786538546,0.8202026693317979,0.8193014786538546,22
Bagging,0.868995633187773,0.8689931350114416,0.8690237809180541,0.868995633187773,1.9612186908721925,0.008424663543701172,0.9006745555443871,0.9007678469571323,0.9021023353152327,0.9007678469571323,22
RandomForest,0.9344978165938864,0.934492819955375,0.934630424415832,0.9344978165938864,0.9333483219146729,0.014512205123901367,0.9147106216697696,0.9147689877583257,0.9155467221117328,0.9147689877583257,22
ExtraTrees,0.9344978165938864,0.9344978165938864,0.9344978165938864,0.9344978165938864,0.21655669212341308,0.015311908721923829,0.9100526628782102,0.9100960905620641,0.9108474412067802,0.9100960905620641,22
AdaBoost,0.8842794759825328,0.8842789243098164,0.8842868039664378,0.8842794759825328,2.3967888832092283,0.014783525466918945,0.8969491598712865,0.8969944276249396,0.8979388818747893,0.8969944276249396,22
GradientBoosting,0.9170305676855895,0.9170242386101416,0.9171578445398186,0.9170305676855895,11.166789388656616,0.007756376266479492,0.9222878652275128,0.9222982756351191,0.9225308223930385,0.9222982756351191,22
XGBoost,0.9366812227074236,0.9366809208487674,0.9366895499618612,0.9366812227074236,2.8127657890319826,0.011954784393310547,0.9222674866508033,0.9222982756351191,0.922921730998475,0.9222982756351191,22
Gaussian Process,0.8471615720524017,0.8470565785707471,0.8481174828384038,0.8471615720524017,0.3327073097229004,0.05919175148010254,0.8396796475348646,0.8398666140143041,0.8412955057081897,0.8398666140143041,22
Hist Gradient Boosting,0.9388646288209607,0.9388634630053394,0.9388981062989873,0.9388646288209607,4.033155155181885,0.010388422012329101,0.926025101608871,0.9260322056952306,0.9261692081581752,0.9260322056952306,22
SVC,0.888646288209607,0.8881337911811612,0.8959013209013209,0.888646288209607,0.07398052215576172,0.04111876487731934,0.869321669218591,0.8698258084331535,0.875318707475703,0.8698258084331535,22
