description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.4218340611353712,0.40340267132172014,0.4888998982737955,0.4218340611353712,0.015658473968505858,0.09319162368774414,0.3911568029388251,0.41498127340823976,0.48566639390495353,0.41498127340823976,5
DecisionTree,0.5048034934497817,0.5057601106858738,0.5082564372648776,0.5048034934497817,0.2101588249206543,0.009815120697021484,0.4854169504161458,0.4827715355805243,0.4905010767334579,0.4827715355805243,5
Bagging,0.5554585152838428,0.5583298611255174,0.564177763769053,0.5554585152838428,1.3420283794403076,0.017052268981933592,0.5648390906489112,0.5629213483146067,0.5697324741571798,0.5629213483146067,5
RandomForest,0.5982532751091703,0.5887290205672953,0.589179174343762,0.5982532751091703,0.7741042137145996,0.026970815658569337,0.5789287469937882,0.5910112359550561,0.5795570592768149,0.5910112359550561,5
ExtraTrees,0.5947598253275109,0.5859169467653494,0.5850196682206767,0.5947598253275109,0.6565536022186279,0.03128175735473633,0.5729467679303025,0.5846441947565543,0.5726354245352573,0.5846441947565543,5
AdaBoost,0.5292576419213973,0.525659114183084,0.5242022648229446,0.5292576419213973,1.2874699592590333,0.029543495178222655,0.5172552687087224,0.5209737827715355,0.519535911362879,0.5209737827715355,5
GradientBoosting,0.6366812227074236,0.6330036408127289,0.6299719523039181,0.6366812227074236,29.45890555381775,0.015324831008911133,0.6326368739941362,0.6363295880149813,0.6314724861266994,0.6363295880149813,5
XGBoost,0.6384279475982533,0.6398188027627738,0.6434886987684024,0.6384279475982533,31.750031805038454,0.02788405418395996,0.6365828865394686,0.6400749063670412,0.6353152632429723,0.6400749063670412,5
Gaussian Process,0.2427947598253275,0.12997759123957092,0.22064476049821163,0.2427947598253275,32.062135982513425,5.441108226776123,0.09764526081003486,0.21198501872659176,0.2074145287389718,0.21198501872659176,5
Hist Gradient Boosting,0.6480349344978166,0.6523849368699915,0.6588021923868552,0.6480349344978166,37.79203495979309,0.04526844024658203,0.6482563416809196,0.6475655430711611,0.6504342157122182,0.6475655430711611,5
SVC,0.5851528384279476,0.5855482247907262,0.5864885419544891,0.5851528384279476,1.2795530319213868,0.9868754386901856,0.5767242518748592,0.5790262172284644,0.5783270423169662,0.5790262172284644,5
