description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.5170305676855895,0.5117754050723763,0.5372153977894676,0.5170305676855895,0.010829877853393555,0.057593345642089844,0.5038208526137172,0.5059925093632958,0.553807964386334,0.5059925093632958,18
DecisionTree,0.4148471615720524,0.41564816620034306,0.41679548207669503,0.4148471615720524,1.1244582653045654,0.007321691513061524,0.38775777951225476,0.3857677902621722,0.3933602355864242,0.3857677902621722,18
Bagging,0.5213973799126638,0.5251630970556409,0.5298547759341221,0.5213973799126638,6.581458044052124,0.011275386810302735,0.4861676614200192,0.4756554307116104,0.5019371385936777,0.4756554307116104,18
RandomForest,0.5807860262008734,0.5787745937283818,0.5781446110980966,0.5807860262008734,3.2976143836975096,0.023624086380004884,0.5686371226347591,0.5681647940074906,0.5722676736145053,0.5681647940074906,18
ExtraTrees,0.5834061135371179,0.5821556143493976,0.5826884807792445,0.5834061135371179,0.8692526817321777,0.027187395095825195,0.5689959731990577,0.5700374531835206,0.5739803769292919,0.5700374531835206,18
AdaBoost,0.4558951965065502,0.453304215827325,0.4517546203682898,0.4558951965065502,6.571449232101441,0.02225627899169922,0.43784960327209677,0.4382022471910112,0.4416556813962826,0.4382022471910112,18
GradientBoosting,0.5720524017467249,0.5731799762488514,0.5767043868891041,0.5720524017467249,157.87674989700318,0.011886167526245116,0.5637337042255238,0.5599250936329587,0.5706486036849158,0.5599250936329587,18
XGBoost,0.6043668122270742,0.6080501064179392,0.6150550242762839,0.6043668122270742,65.46926155090333,0.02315244674682617,0.5782059991080224,0.5756554307116104,0.5836994034349081,0.5756554307116104,18
Gaussian Process,0.22358078602620088,0.10623751476037056,0.20206747974134553,0.22358078602620088,20.827396965026857,3.6173190116882323,0.10174407760644573,0.21647940074906366,0.20750486134381738,0.21647940074906366,18
Hist Gradient Boosting,0.5982532751091703,0.6037751054739421,0.6125868224275751,0.5982532751091703,28.463878870010376,0.051423501968383786,0.5755696058368813,0.5677902621722846,0.5869086065517146,0.5677902621722846,18
SVC,0.6157205240174672,0.6137319873253773,0.6125920766007422,0.6157205240174672,0.5988824367523193,0.2697688102722168,0.6062133402499639,0.6089887640449438,0.6075553227476631,0.6089887640449438,18
